Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2020-01-02,73.78591918945312,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400.0
2020-01-03,73.06855773925781,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800.0
2020-01-06,73.65079498291016,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200.0
2020-01-07,73.30441284179688,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000.0
2020-01-08,74.48361206054688,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200.0
2020-01-09,76.06570434570312,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400.0
2020-01-10,76.23766326904297,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800.0
2020-01-13,77.86642456054688,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000.0
2020-01-14,76.81497955322266,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400.0
2020-01-15,76.48579406738281,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600.0
2020-01-16,77.44387817382812,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200.0
2020-01-17,78.30126953125,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400.0
2020-01-21,77.77062225341797,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200.0
2020-01-22,78.04822540283203,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400.0
2020-01-23,78.4240951538086,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000.0
2020-01-24,78.19808197021484,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600.0
2020-01-27,75.89863586425781,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000.0
2020-01-28,78.04576873779297,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000.0
2020-01-29,79.679443359375,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200.0
2020-01-30,79.56399536132812,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200.0
2020-01-31,76.0362319946289,77.37750244140625,80.66999816894531,77.07250213623047,80.23249816894531,199588400.0
2020-02-03,75.82740783691406,77.16500091552734,78.37249755859375,75.55500030517578,76.07499694824219,173788400.0
2020-02-04,78.33074951171875,79.7125015258789,79.91000366210938,78.40750122070312,78.82749938964844,136616400.0
2020-02-05,78.969482421875,80.36250305175781,81.19000244140625,79.73750305175781,80.87999725341797,118826800.0
2020-02-06,79.8931884765625,81.30249786376953,81.30500030517578,80.06500244140625,80.64250183105469,105425600.0
2020-02-07,78.8072280883789,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000.0
2020-02-10,79.1815185546875,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800.0
2020-02-11,78.70378875732422,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200.0
2020-02-12,80.57283020019531,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400.0
2020-02-13,79.99906921386719,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600.0
2020-02-14,80.01876068115234,81.23750305175781,81.49500274658203,80.7125015258789,81.18499755859375,80113600.0
2020-02-18,78.55358123779297,79.75,79.9375,78.65249633789062,78.83999633789062,152531200.0
2020-02-19,79.6912612915039,80.90499877929688,81.14250183105469,80.0,80.0,93984000.0
2020-02-20,78.87370300292969,80.07499694824219,81.1624984741211,79.55249786376953,80.65750122070312,100566000.0
2020-02-21,77.08839416503906,78.26249694824219,80.11250305175781,77.625,79.65499877929688,129554000.0
2020-02-24,73.4266586303711,74.54499816894531,76.04499816894531,72.30750274658203,74.31500244140625,222195200.0
2020-02-25,70.9395523071289,72.0199966430664,75.63249969482422,71.53250122070312,75.23750305175781,230673600.0
2020-02-26,72.06489562988281,73.1624984741211,74.47000122070312,71.625,71.63249969482422,198054800.0
2020-02-27,67.3541488647461,68.37999725341797,71.5,68.23999786376953,70.2750015258789,320605600.0
2020-02-28,67.31475830078125,68.33999633789062,69.60250091552734,64.09249877929688,64.31500244140625,426510000.0
2020-03-02,73.58179473876953,74.70249938964844,75.36000061035156,69.43000030517578,70.56999969482422,341397200.0
2020-03-03,71.24490356445312,72.33000183105469,76.0,71.44999694824219,75.9175033569336,319475600.0
2020-03-04,74.549560546875,75.68499755859375,75.8499984741211,73.28250122070312,74.11000061035156,219178400.0
2020-03-05,72.13140869140625,73.2300033569336,74.88749694824219,72.85250091552734,73.87999725341797,187572800.0
2020-03-06,71.1734848022461,72.25749969482422,72.70500183105469,70.30750274658203,70.5,226176800.0
2020-03-09,65.54422760009766,66.5425033569336,69.52249908447266,65.75,65.9375,286744800.0
2020-03-10,70.26482391357422,71.33499908447266,71.61000061035156,67.34249877929688,69.28500366210938,285290000.0
2020-03-11,67.82450103759766,68.85749816894531,70.30500030517578,67.96499633789062,69.34750366210938,255598800.0
2020-03-12,61.12650680541992,62.057498931884766,67.5,62.0,63.98500061035156,418474000.0
2020-03-13,68.4499740600586,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000.0
2020-03-16,59.64408874511719,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600.0
2020-03-17,62.26664352416992,63.21500015258789,64.40249633789062,59.599998474121094,61.877498626708984,324056000.0
2020-03-18,60.74235534667969,61.66749954223633,62.5,59.279998779296875,59.942501068115234,300233600.0
2020-03-19,60.276947021484375,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200.0
2020-03-20,56.450233459472656,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200.0
2020-03-23,55.25099182128906,56.092498779296875,57.125,53.15250015258789,57.02000045776367,336752800.0
