Dow Jones 30 task begins at: 2025-05-09 21:31:13 [UK]
Reading symbols from source:  https://en.wikipedia.org/wiki/Russell_1000_Index#Components
Total symbols: 1004
Table:
      symbol                  name
0       TXG          10x Genomics
1       MMM                    3M
2       AOS           A. O. Smith
3      AAON                  AAON
4       ABT   Abbott Laboratories
...     ...                   ...
999    ZION  Zions Bancorporation
1000    ZTS                Zoetis
1001     ZM   Zoom Communications
1002     ZI              ZoomInfo
1003     ZS               Zscaler

[1004 rows x 2 columns]
----------- Reading symbols -----------
readAssetList path: asset_list/Russell1000.csv
