,Date,High,Low,Open,Close,Volume,Adj Close,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
0,2021-12-14,334.6400146484375,324.1099853515625,333.2200012207031,328.3399963378906,44438700.0,326.9010925292969,,,,,296.0299987792969
1,2021-12-15,335.19000244140625,324.5,328.6099853515625,334.6499938964844,35381100.0,333.1834411621094,,,,,296.3699951171875
2,2021-12-16,336.760009765625,323.0199890136719,335.7099914550781,324.8999938964844,35034800.0,323.4761657714844,,,,,288.489990234375
3,2021-12-17,324.9200134277344,317.25,320.8800048828125,323.79998779296875,47750300.0,322.3809814453125,,,,,296.7099914550781
4,2021-12-20,322.79998779296875,317.57000732421875,320.04998779296875,319.9100036621094,28326500.0,318.5080261230469,,,,,299.8399963378906
5,2021-12-21,327.7300109863281,319.79998779296875,323.2900085449219,327.2900085449219,24740600.0,325.855712890625,,,,,308.260009765625
6,2021-12-22,333.6099853515625,325.75,328.29998779296875,333.20001220703125,24831500.0,331.73980712890625,,,,,310.9800109863281
7,2021-12-23,336.3900146484375,332.7300109863281,332.75,334.69000244140625,19617800.0,333.2232666015625,,,,,308.760009765625
8,2021-12-27,342.4800109863281,335.42999267578125,335.4599914550781,342.45001220703125,19947000.0,340.94927978515625,329.86500549316406,,,,313.4599914550781
9,2021-12-28,343.8099975585937,340.32000732421875,343.1499938964844,341.25,15661500.0,339.7545166015625,330.5299987792969,,,,301.25
10,2021-12-29,344.29998779296875,339.67999267578125,341.29998779296875,341.95001220703125,15042000.0,340.45147705078125,330.7749938964844,,,,305.94000244140625
11,2021-12-30,343.1300048828125,338.82000732421875,341.9100036621094,339.32000732421875,15994500.0,337.8329772949219,330.7749938964844,,,,300.95001220703125
12,2021-12-31,339.3599853515625,335.8500061035156,338.510009765625,336.32000732421875,18000800.0,334.8461303710937,330.93499755859375,,,,304.5599975585937
13,2022-01-03,338.0,329.7799987792969,335.3500061035156,334.75,28865100.0,333.2829895019531,332.04998779296875,,,,311.2099914550781
14,2022-01-04,335.20001220703125,326.1199951171875,334.8299865722656,329.010009765625,32674300.0,327.56817626953125,335.0249938964844,,,,302.3800048828125
15,2022-01-05,326.07000732421875,315.9800109863281,325.8599853515625,316.3800048828125,40054300.0,314.9935302734375,330.13999938964844,,,,295.0400085449219
16,2022-01-06,318.70001220703125,311.489990234375,313.1499938964844,313.8800048828125,39646100.0,312.50445556640625,327.8949890136719,,,,295.0
17,2022-01-07,316.5,310.0899963378906,314.1499938964844,314.0400085449219,32720000.0,312.66375732421875,327.1949920654297,,,,300.4700012207031
18,2022-01-10,314.7200012207031,304.69000244140625,309.489990234375,314.2699890136719,44289500.0,312.89276123046875,324.4949951171875,,,,299.5
19,2022-01-11,316.6099853515625,309.8900146484375,313.3800048828125,314.9800109863281,29386800.0,313.59967041015625,323.9100036621094,,,,290.7300109863281
20,2022-01-12,323.4100036621094,317.0799865722656,319.6700134277344,318.2699890136719,34372200.0,316.8752136230469,322.0249938964844,,,,287.92999267578125
21,2022-01-13,320.8800048828125,304.0,320.4700012207031,304.79998779296875,45366000.0,303.4642639160156,321.0,,,,287.7200012207031
