Date,Kijun Direction,Kijun Signal Count
2021-12-13,,
2021-12-14,,
2021-12-15,,
2021-12-16,,
2021-12-17,,
2021-12-20,,
2021-12-21,,
2021-12-22,,
2021-12-23,,
2021-12-27,,
2021-12-28,,
2021-12-29,,
2021-12-30,,
2021-12-31,,
2022-01-03,,
2022-01-04,,
2022-01-05,,
2022-01-06,,
2022-01-07,,
2022-01-10,,
2022-01-11,,
2022-01-12,,
2022-01-13,,
2022-01-14,,
2022-01-18,,
2022-01-19,,
2022-01-20,,
2022-01-21,,
2022-01-24,-1.0,0.0
2022-01-25,-1.0,1.0
2022-01-26,-1.0,2.0
2022-01-27,-1.0,3.0
2022-01-28,-1.0,4.0
2022-01-31,-1.0,5.0
2022-02-01,-1.0,6.0
2022-02-02,-1.0,7.0
2022-02-03,-1.0,8.0
2022-02-04,-1.0,9.0
2022-02-07,-1.0,10.0
2022-02-08,-1.0,11.0
2022-02-09,-1.0,12.0
2022-02-10,-1.0,13.0
2022-02-11,-1.0,14.0
2022-02-14,-1.0,15.0
2022-02-15,-1.0,16.0
2022-02-16,-1.0,17.0
2022-02-17,-1.0,18.0
2022-02-18,-1.0,19.0
2022-02-22,-1.0,20.0
2022-02-23,-1.0,21.0
2022-02-24,-1.0,22.0
2022-02-25,-1.0,23.0
2022-02-28,-1.0,24.0
2022-03-01,-1.0,25.0
2022-03-02,-1.0,26.0
2022-03-03,-1.0,27.0
2022-03-04,-1.0,28.0
2022-03-07,-1.0,29.0
2022-03-08,-1.0,30.0
2022-03-09,-1.0,31.0
2022-03-10,-1.0,32.0
2022-03-11,-1.0,33.0
2022-03-14,-1.0,34.0
2022-03-15,-1.0,35.0
2022-03-16,-1.0,36.0
2022-03-17,-1.0,37.0
2022-03-18,-1.0,38.0
2022-03-21,-1.0,39.0
2022-03-22,1.0,39.0
2022-03-23,1.0,39.0
2022-03-24,1.0,39.0
2022-03-25,1.0,39.0
2022-03-28,1.0,39.0
2022-03-29,1.0,39.0
2022-03-30,1.0,39.0
2022-03-31,1.0,39.0
2022-04-01,1.0,39.0
2022-04-04,1.0,39.0
2022-04-05,1.0,39.0
2022-04-06,1.0,39.0
2022-04-07,1.0,39.0
2022-04-08,1.0,39.0
2022-04-11,1.0,39.0
2022-04-12,1.0,39.0
2022-04-13,1.0,39.0
2022-04-14,1.0,39.0
2022-04-18,1.0,39.0
2022-04-19,1.0,39.0
2022-04-20,1.0,39.0
2022-04-21,1.0,39.0
2022-04-22,1.0,39.0
2022-04-25,1.0,39.0
2022-04-26,1.0,39.0
2022-04-27,1.0,39.0
2022-04-28,-1.0,40.0
2022-04-29,-1.0,41.0
2022-05-02,-1.0,42.0
2022-05-03,-1.0,43.0
2022-05-04,-1.0,44.0
2022-05-05,-1.0,45.0
2022-05-06,-1.0,46.0
2022-05-09,-1.0,47.0
2022-05-10,-1.0,48.0
2022-05-11,-1.0,49.0
2022-05-12,-1.0,50.0
2022-05-13,-1.0,51.0
2022-05-16,-1.0,52.0
2022-05-17,-1.0,53.0
2022-05-18,-1.0,54.0
2022-05-19,-1.0,55.0
2022-05-20,-1.0,56.0
2022-05-23,-1.0,57.0
2022-05-24,-1.0,58.0
2022-05-25,-1.0,59.0
2022-05-26,-1.0,60.0
2022-05-27,-1.0,61.0
2022-05-31,-1.0,62.0
2022-06-01,-1.0,63.0
2022-06-02,-1.0,64.0
2022-06-03,-1.0,65.0
2022-06-06,-1.0,66.0
2022-06-07,-1.0,67.0
2022-06-08,-1.0,68.0
2022-06-09,-1.0,69.0
2022-06-10,-1.0,70.0
2022-06-13,-1.0,71.0
2022-06-14,-1.0,72.0
2022-06-15,-1.0,73.0
2022-06-16,-1.0,74.0
2022-06-17,-1.0,75.0
2022-06-21,-1.0,76.0
2022-06-22,-1.0,77.0
2022-06-23,-1.0,78.0
2022-06-24,-1.0,79.0
2022-06-27,-1.0,80.0
2022-06-28,-1.0,81.0
2022-06-29,-1.0,82.0
2022-06-30,-1.0,83.0
2022-07-01,1.0,83.0
2022-07-05,1.0,83.0
2022-07-06,1.0,83.0
2022-07-07,1.0,83.0
2022-07-08,1.0,83.0
2022-07-11,1.0,83.0
2022-07-12,-1.0,84.0
2022-07-13,-1.0,85.0
2022-07-14,-1.0,86.0
2022-07-15,-1.0,87.0
2022-07-18,-1.0,88.0
2022-07-19,-1.0,89.0
2022-07-20,-1.0,90.0
2022-07-21,1.0,90.0
2022-07-22,1.0,90.0
2022-07-25,1.0,90.0
2022-07-26,1.0,90.0
2022-07-27,1.0,90.0
2022-07-28,1.0,90.0
2022-07-29,1.0,90.0
2022-08-01,1.0,90.0
2022-08-02,1.0,90.0
2022-08-03,1.0,90.0
2022-08-04,1.0,90.0
2022-08-05,1.0,90.0
2022-08-08,1.0,90.0
2022-08-09,1.0,90.0
