,Date,High,Low,Open,Close,Volume,Adj Close,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
0,2021-12-13,1005.0,951.4199829101562,1001.0900268554688,966.4099731445312,26198500,966.4099731445312,,,,,996.27001953125
1,2021-12-14,966.4099731445312,930.0,945.0,958.510009765625,23602100,958.510009765625,,,,,943.9000244140624
2,2021-12-15,978.75,928.25,953.2100219726562,975.989990234375,25056400,975.989990234375,,,,,930.0
3,2021-12-16,994.97998046875,921.8499755859376,994.5,926.9199829101562,27590500,926.9199829101562,,,,,918.4000244140624
4,2021-12-17,960.6599731445312,909.0399780273438,914.77001953125,932.5700073242188,33479100,932.5700073242188,,,,,937.4099731445312
5,2021-12-20,921.6900024414062,893.3900146484375,910.7000122070312,899.9400024414062,18826700,899.9400024414062,,,,,829.0999755859375
6,2021-12-21,939.5,886.1199951171875,916.8699951171876,938.530029296875,23839300,938.530029296875,,,,,846.3499755859375
7,2021-12-22,1015.6599731445312,957.0499877929688,965.6599731445312,1008.8699951171876,31211400,1008.8699951171876,,,,,936.719970703125
8,2021-12-23,1072.97998046875,997.5599975585938,1006.7999877929688,1067.0,30904400,1067.0,979.5499877929688,,,,931.25
9,2021-12-27,1117.0,1070.719970703125,1073.6700439453125,1093.93994140625,23715300,1093.93994140625,1001.5599975585938,,,,905.6599731445312
10,2021-12-28,1119.0,1078.4200439453125,1109.489990234375,1088.469970703125,20108000,1088.469970703125,1002.5599975585938,,,,891.1400146484375
11,2021-12-29,1104.0,1064.1400146484375,1098.6400146484375,1086.18994140625,18718000,1086.18994140625,1002.5599975585938,,,,923.3200073242188
12,2021-12-30,1095.550048828125,1053.1500244140625,1061.3299560546875,1070.3399658203125,15680300,1070.3399658203125,1002.5599975585938,,,,907.3400268554688
13,2021-12-31,1082.0,1054.5899658203125,1073.43994140625,1056.780029296875,13577900,1056.780029296875,1002.5599975585938,,,,922.0
14,2022-01-03,1201.0699462890625,1136.0400390625,1147.75,1199.780029296875,34643800,1199.780029296875,1043.594970703125,,,,932.0
15,2022-01-04,1208.0,1123.050048828125,1189.550048828125,1149.5899658203125,33416100,1149.5899658203125,1082.5249938964844,,,,904.5499877929688
16,2022-01-05,1170.3399658203125,1081.010009765625,1146.6500244140625,1088.1199951171875,26706600,1088.1199951171875,1102.7799987792969,,,,860.0
17,2022-01-06,1088.0,1020.5,1077.0,1064.699951171875,30112200,1064.699951171875,1114.25,,,,875.760009765625
18,2022-01-07,1080.9300537109375,1010.0,1080.3699951171875,1026.9599609375,28054900,1026.9599609375,1109.0,,,,922.4299926757812
19,2022-01-10,1059.0999755859375,980.0,1000.0,1058.1199951171875,30605000,1058.1199951171875,1094.0,,,,923.3900146484376
20,2022-01-11,1075.8499755859375,1038.8199462890625,1053.6700439453125,1064.4000244140625,22021100,1064.4000244140625,1094.0,,,,876.3499755859375
21,2022-01-12,1114.8399658203125,1072.5899658203125,1078.8499755859375,1106.219970703125,27913000,1106.219970703125,1094.0,,,,856.97998046875
22,2022-01-13,1115.5999755859375,1026.5400390625,1109.0699462890625,1031.56005859375,32403300,1031.56005859375,1094.0,,,,821.530029296875
23,2022-01-14,1052.0,1013.3800048828124,1019.8800048828124,1049.6099853515625,24308100,1049.6099853515625,1094.0,,,,764.0399780273438
24,2022-01-18,1070.7900390625,1016.0599975585938,1026.6099853515625,1030.510009765625,22247800,1030.510009765625,1075.1699829101562,,,,800.77001953125
25,2022-01-19,1054.6700439453125,995.0,1041.7099609375,995.6500244140624,25147500,995.6500244140624,1047.7999877929688,1047.0599975585938,,,809.8699951171875
