Date,High,Low,Open,Close,Volume,Adj Close
2021-10-27,659.469970703125,646.2999877929688,651.8300170898438,652.3599853515625,224300,652.3599853515625
2021-10-28,672.1199951171875,656.52001953125,659.010009765625,670.530029296875,232500,670.530029296875
2021-10-29,674.8099975585938,660.5,662.969970703125,673.239990234375,239700,673.239990234375
2021-11-01,675.1300048828125,652.77001953125,675.1300048828125,659.6500244140625,215400,659.6500244140625
2021-11-02,675.8499755859375,656.2999877929688,658.719970703125,674.3300170898438,195300,674.3300170898438
2021-11-03,680.0,654.0599975585938,679.0900268554688,679.9500122070312,372300,679.9500122070312
2021-11-04,718.1799926757812,679.0,689.7100219726562,716.260009765625,359700,716.260009765625
2021-11-05,725.4000244140625,703.780029296875,725.4000244140625,705.0599975585938,216900,705.0599975585938
2021-11-08,722.75,699.27001953125,706.1500244140625,717.489990234375,222100,717.489990234375
2021-11-09,722.1199951171875,711.6500244140625,715.0,717.0800170898438,256700,717.0800170898438
2021-11-10,706.9199829101562,668.969970703125,705.0,674.6500244140625,291300,674.6500244140625
2021-11-11,690.0,667.1900024414062,684.2999877929688,668.1500244140625,467900,668.1500244140625
2021-11-12,678.989990234375,664.02001953125,675.6400146484375,671.3599853515625,492700,671.3599853515625
2021-11-15,675.8699951171875,654.780029296875,672.0,660.6799926757812,240600,660.6799926757812
2021-11-16,674.2999877929688,657.760009765625,658.0,671.010009765625,365700,671.010009765625
2021-11-17,675.010009765625,663.0399780273438,675.0,665.72998046875,178500,665.72998046875
2021-11-18,669.25,658.4500122070312,665.27001953125,663.9400024414062,196700,663.9400024414062
2021-11-19,670.8300170898438,658.47998046875,667.489990234375,663.8400268554688,201000,663.8400268554688
2021-11-22,670.0700073242188,610.9600219726562,665.1599731445312,614.1599731445312,351800,614.1599731445312
2021-11-23,626.469970703125,595.5700073242188,625.219970703125,602.9400024414062,508300,602.9400024414062
2021-11-24,622.6799926757812,593.780029296875,595.6099853515625,620.27001953125,302600,620.27001953125
2021-11-26,629.8900146484375,607.7000122070312,614.5700073242188,609.0,114800,609.0
2021-11-29,642.989990234375,610.8599853515625,618.8300170898438,634.1699829101562,334700,634.1699829101562
2021-11-30,641.3699951171875,605.6300048828125,633.989990234375,608.5499877929688,454100,608.5499877929688
2021-12-01,624.5,595.0,618.3499755859375,595.010009765625,257800,595.010009765625
2021-12-02,622.469970703125,590.77001953125,591.6799926757812,619.8400268554688,257800,619.8400268554688
2021-12-03,624.0700073242188,584.5,624.0700073242188,596.6900024414062,349700,596.6900024414062
2021-12-06,588.4199829101562,566.6300048828125,587.7899780273438,572.7999877929688,532000,572.7999877929688
2021-12-07,601.5900268554688,589.5499877929688,597.2100219726562,595.0,454700,595.0
2021-12-08,704.719970703125,643.3300170898438,648.8699951171875,700.1400146484375,3746100,700.1400146484375
2021-12-09,719.5599975585938,694.1500244140625,708.0,700.010009765625,1770800,700.010009765625
2021-12-10,710.5900268554688,689.5700073242188,698.8699951171875,697.1199951171875,1201100,697.1199951171875
2021-12-13,709.989990234375,666.0399780273438,698.0,685.0,11665000,685.0
2021-12-14,679.3200073242188,642.2000122070312,675.0,663.1300048828125,1585300,663.1300048828125
2021-12-15,668.8800048828125,625.3900146484375,661.5,649.02001953125,1113500,649.02001953125
2021-12-16,669.8599853515625,628.25,655.5,635.72998046875,673000,635.72998046875
2021-12-17,641.969970703125,618.3200073242188,623.030029296875,636.3300170898438,826300,636.3300170898438
2021-12-20,636.969970703125,619.0499877929688,626.6500244140625,623.030029296875,474300,623.030029296875
2021-12-21,649.0,620.8099975585938,626.9299926757812,648.989990234375,333300,648.989990234375
2021-12-22,662.6099853515625,646.0700073242188,649.030029296875,660.52001953125,317200,660.52001953125
2021-12-23,665.4199829101562,656.6500244140625,658.260009765625,663.0800170898438,271300,663.0800170898438
2021-12-27,699.1199951171875,669.469970703125,669.5499877929688,697.0,328300,697.0
2021-12-28,697.3200073242188,677.4400024414062,697.3200073242188,682.2000122070312,272900,682.2000122070312
2021-12-29,689.97998046875,677.77001953125,682.510009765625,677.8400268554688,231100,677.8400268554688
