Symbol,Direction,Count
ISRG,1.0,6.0
UAL,1.0,6.0
NFLX,1.0,6.0
RTX,1.0,6.0
MTB,-1.0,6.0
CAH,1.0,6.0
HII,1.0,6.0
CINF,1.0,6.0
HIG,1.0,6.0
CB,1.0,6.0
ELV,1.0,6.0
NOC,1.0,6.0
MCK,1.0,6.0
BKR,1.0,6.0
DE,1.0,6.0
ABBV,1.0,7.0
TJX,1.0,7.0
GD,1.0,7.0
TSCO,1.0,7.0
IPG,1.0,7.0
LMT,1.0,7.0
LHX,1.0,7.0
SCHW,-1.0,9.0
CF,1.0,9.0
PFG,1.0,9.0
CI,1.0,10.0
HSY,1.0,10.0
MO,1.0,10.0
CVX,1.0,10.0
PEP,1.0,10.0
CPB,1.0,10.0
TRV,1.0,10.0
ETSY,-1.0,10.0
CEG,-1.0,10.0
WYNN,-1.0,11.0
ALB,-1.0,11.0
WRB,1.0,12.0
AMGN,1.0,12.0
MCHP,-1.0,12.0
SJM,1.0,12.0
FMC,1.0,12.0
MRK,1.0,13.0
HAL,1.0,14.0
VLO,1.0,14.0
PXD,1.0,14.0
APA,1.0,14.0
COP,1.0,14.0
PSX,1.0,14.0
DVN,1.0,14.0
EOG,1.0,15.0
MRO,1.0,15.0
FANG,1.0,15.0
HES,1.0,15.0
XOM,1.0,15.0
DXCM,1.0,15.0
SLB,1.0,16.0
AZO,1.0,16.0
CMI,1.0,16.0
LW,1.0,16.0
ILMN,1.0,16.0
MOH,1.0,16.0
PCAR,1.0,16.0
ORLY,1.0,17.0
MPC,1.0,17.0
ROL,1.0,17.0
VRTX,1.0,18.0
TWTR,1.0,19.0
LLY,1.0,21.0
BIIB,1.0,21.0
FE,-1.0,23.0
ENPH,-1.0,24.0
CTRA,-1.0,24.0
EQT,-1.0,24.0
RJF,-1.0,24.0
CMG,-1.0,24.0
ULTA,-1.0,24.0
ZION,-1.0,24.0
AES,-1.0,24.0
BBWI,-1.0,24.0
CNP,-1.0,24.0
RF,-1.0,25.0
GM,-1.0,25.0
PYPL,-1.0,25.0
IT,-1.0,25.0
CVS,-1.0,25.0
PGR,-1.0,25.0
FDS,-1.0,25.0
OKE,-1.0,25.0
KMI,-1.0,25.0
CCL,-1.0,25.0
RSG,-1.0,25.0
TRGP,-1.0,25.0
ON,-1.0,25.0
SRE,-1.0,25.0
WM,-1.0,25.0
MS,-1.0,26.0
GL,1.0,26.0
GPN,-1.0,26.0
PAYC,-1.0,26.0
TT,-1.0,26.0
GIS,1.0,26.0
HUM,1.0,27.0
PPL,-1.0,27.0
KR,-1.0,27.0
INVH,-1.0,27.0
IRM,-1.0,27.0
ATO,-1.0,27.0
AVB,-1.0,28.0
ETR,-1.0,28.0
BDX,-1.0,28.0
AEP,-1.0,28.0
TPR,-1.0,29.0
ECL,-1.0,29.0
AJG,-1.0,29.0
DIS,-1.0,29.0
CMA,-1.0,29.0
EPAM,-1.0,29.0
MOS,-1.0,29.0
STZ,-1.0,29.0
SO,-1.0,29.0
DTE,-1.0,29.0
CARR,-1.0,29.0
NEE,-1.0,29.0
AMZN,-1.0,29.0
WMB,-1.0,29.0
ANET,-1.0,29.0
AEE,-1.0,30.0
CMS,-1.0,30.0
D,-1.0,30.0
LNT,-1.0,30.0
MSI,-1.0,30.0
CLX,-1.0,30.0
NI,-1.0,30.0
WEC,-1.0,30.0
PNW,-1.0,30.0
EVRG,-1.0,30.0
ES,-1.0,30.0
ED,-1.0,30.0
XEL,-1.0,30.0
PKG,-1.0,31.0
PSA,-1.0,31.0
TDG,-1.0,31.0
GWW,-1.0,31.0
UPS,-1.0,31.0
UNP,-1.0,31.0
ICE,-1.0,31.0
MMC,-1.0,31.0
CHRW,-1.0,31.0
BR,-1.0,31.0
LOW,-1.0,31.0
AVY,-1.0,31.0
BRO,-1.0,31.0
EXR,-1.0,31.0
AIZ,-1.0,31.0
CME,-1.0,32.0
META,-1.0,32.0
F,-1.0,32.0
VMC,-1.0,32.0
CL,-1.0,35.0
BEN,-1.0,35.0
SIVB,-1.0,37.0
HAS,-1.0,37.0
TSLA,-1.0,37.0
AXP,-1.0,37.0
FITB,-1.0,37.0
BF-B,-1.0,37.0
EIX,-1.0,37.0
TTWO,-1.0,37.0
PEG,-1.0,37.0
FAST,-1.0,37.0
FOX,-1.0,37.0
FOXA,-1.0,37.0
DUK,-1.0,37.0
MLM,-1.0,37.0
BWA,-1.0,37.0
DISH,-1.0,37.0
AAPL,-1.0,37.0
PAYX,-1.0,38.0
PM,-1.0,38.0
NSC,-1.0,38.0
VRSK,-1.0,38.0
CSX,-1.0,38.0
SBAC,-1.0,38.0
PPG,-1.0,38.0
JBHT,-1.0,38.0
TROW,-1.0,39.0
VICI,-1.0,39.0
CDW,-1.0,39.0
SNPS,-1.0,39.0
FRT,-1.0,39.0
MCO,-1.0,39.0
RL,-1.0,39.0
EXPE,-1.0,39.0
MPWR,-1.0,39.0
EXC,-1.0,39.0
WRK,-1.0,39.0
ARE,-1.0,39.0
CE,-1.0,39.0
MKC,-1.0,39.0
SNA,-1.0,39.0
NKE,-1.0,39.0
FISV,-1.0,39.0
J,-1.0,39.0
IVZ,-1.0,39.0
SPGI,-1.0,39.0
IP,-1.0,39.0
CDNS,-1.0,39.0
HRL,-1.0,39.0
CZR,-1.0,39.0
TEL,-1.0,39.0
PARA,-1.0,39.0
TXN,-1.0,39.0
LYV,-1.0,39.0
NOW,-1.0,39.0
ALK,-1.0,39.0
BKNG,-1.0,39.0
EQIX,-1.0,39.0
TYL,-1.0,39.0
PEAK,-1.0,39.0
EL,-1.0,39.0
AWK,-1.0,40.0
EQR,-1.0,40.0
EMN,-1.0,40.0
KO,-1.0,40.0
FFIV,-1.0,40.0
PLD,-1.0,40.0
PG,-1.0,40.0
FLT,-1.0,40.0
TRMB,-1.0,40.0
KIM,-1.0,40.0
KLAC,-1.0,40.0
BBY,-1.0,40.0
AMD,-1.0,40.0
DHR,-1.0,40.0
TMO,-1.0,41.0
USB,-1.0,41.0
CCI,-1.0,41.0
AVGO,-1.0,41.0
SBNY,-1.0,41.0
AMT,-1.0,41.0
DLR,-1.0,41.0
HD,-1.0,41.0
MDLZ,-1.0,41.0
GNRC,-1.0,41.0
EFX,-1.0,41.0
ESS,-1.0,41.0
WDC,-1.0,42.0
FRC,-1.0,42.0
LRCX,-1.0,42.0
UDR,-1.0,42.0
CBRE,-1.0,42.0
AOS,-1.0,42.0
NWL,-1.0,42.0
NVR,-1.0,42.0
CPT,-1.0,42.0
MAA,-1.0,42.0
WHR,-1.0,42.0
LEN,-1.0,42.0
AMAT,-1.0,42.0
MAS,-1.0,42.0
NTRS,-1.0,42.0
O,-1.0,42.0
ANSS,-1.0,42.0
LUMN,-1.0,42.0
ALGN,-1.0,42.0
BK,-1.0,42.0
BIO,-1.0,42.0
SEDG,-1.0,42.0
TFC,-1.0,42.0
NVDA,-1.0,43.0
TECH,-1.0,43.0
NXPI,-1.0,43.0
WST,-1.0,43.0
ZBRA,-1.0,43.0
KMB,-1.0,43.0
STX,-1.0,43.0
HOLX,-1.0,43.0
APTV,-1.0,43.0
CTLT,-1.0,43.0
FBHS,-1.0,43.0
SWKS,-1.0,43.0
FDX,-1.0,43.0
VNO,-1.0,43.0
QRVO,-1.0,43.0
CTSH,-1.0,43.0
EBAY,-1.0,43.0
ADI,-1.0,43.0
COO,-1.0,43.0
DPZ,-1.0,43.0
ATVI,-1.0,44.0
POOL,-1.0,44.0
MDT,-1.0,45.0
FIS,-1.0,45.0
C,-1.0,45.0
IFF,-1.0,46.0
ABT,-1.0,46.0
QCOM,-1.0,46.0
MKTX,-1.0,46.0
VFC,-1.0,47.0
BXP,-1.0,47.0
XRAY,-1.0,47.0
YUM,-1.0,47.0
KMX,-1.0,47.0
PHM,-1.0,47.0
LUV,-1.0,47.0
ZTS,-1.0,47.0
TSN,-1.0,57.0
REGN,1.0,57.0
WELL,-1.0,58.0
MNST,-1.0,58.0
VTR,-1.0,58.0
SEE,-1.0,58.0
BALL,-1.0,59.0
STE,-1.0,60.0
CMCSA,-1.0,63.0
TFX,-1.0,64.0
CHTR,-1.0,64.0
SWK,-1.0,64.0
GRMN,-1.0,65.0
PCG,1.0,67.0
VZ,-1.0,69.0
MTCH,-1.0,91.0
BAX,-1.0,94.0
OGN,-1.0,94.0
INTC,-1.0,128.0
NEM,-1.0,130.0
