Date,High,Low,Open,Close,Volume,Adj Close
2021-11-01,350.0,338.5,338.5,349.5,180025,349.5
2021-11-02,349.0,343.0,349.0,343.5,336588,343.5
2021-11-03,343.0,336.0,339.0,336.0,712574,336.0
2021-11-04,341.8689880371094,328.5,330.0,337.0,690125,337.0
2021-11-05,365.2090148925781,342.0,349.5,365.0,1347723,365.0
2021-11-08,372.0,365.0,372.0,368.5,545932,368.5
2021-11-09,373.5,364.0,371.5,365.0,929928,365.0
2021-11-10,367.29998779296875,356.0,365.0,357.0,619333,357.0
2021-11-11,368.29998779296875,355.3900146484375,366.0,360.5,830081,360.5
2021-11-12,366.0,358.5,366.0,364.5,677047,364.5
2021-11-15,372.0,359.6499938964844,372.0,361.5,261580,361.5
2021-11-16,370.5,360.0,370.5,368.0,322887,368.0
2021-11-17,384.45001220703125,362.2099914550781,365.5,367.0,346341,367.0
2021-11-18,374.0,363.0,366.0,373.0,583813,373.0
2021-11-19,374.5,369.5,373.5,374.5,370643,374.5
2021-11-22,384.0,376.0,379.0,379.5,339220,379.5
2021-11-23,381.5,374.0,376.5,377.5,544846,377.5
2021-11-24,379.5,368.5,368.5,371.5,419849,371.5
2021-11-25,378.5,370.5,375.0,373.5,206574,373.5
2021-11-26,366.5,357.0,364.0,357.0,332047,357.0
2021-11-29,364.5,353.54901123046875,357.5,355.0,1185527,355.0
2021-11-30,365.5,350.4800109863281,352.0,359.5,1146175,359.5
2021-12-01,372.0,360.5,372.0,367.0,259375,367.0
2021-12-02,368.0,355.5,355.5,363.5,815207,363.5
2021-12-03,368.0,356.5,368.0,357.0,161758,357.0
2021-12-06,361.9519958496094,357.0,361.0,358.5,221156,358.5
2021-12-07,366.5,357.5,358.0,363.0,227185,363.0
2021-12-08,366.0,356.0,357.5,356.5,176993,356.5
2021-12-09,363.5,349.0,363.5,349.0,144620,349.0
2021-12-10,352.0,339.0,347.0,343.0,301996,343.0
2021-12-13,345.5,338.1719970703125,345.5,338.5,165852,338.5
2021-12-14,340.5,333.5199890136719,336.5,337.0,451468,337.0
2021-12-15,339.5,333.5,334.5,335.5,335404,335.5
2021-12-16,341.5,337.5,339.5,337.5,296972,337.5
2021-12-17,340.5,336.20001220703125,337.5,338.5,377102,338.5
2021-12-20,337.9670104980469,330.0,331.5,331.5,198707,331.5
2021-12-21,335.5,332.5,335.5,332.5,139696,332.5
2021-12-22,341.0,325.5,325.5,341.0,710878,341.0
2021-12-23,348.5,340.0,348.5,347.0,305079,347.0
2021-12-24,355.0,341.5,355.0,353.0,64411,353.0
2021-12-29,359.0,351.25,355.0,357.0,156490,357.0
2021-12-30,359.5,349.0,349.0,356.5,255432,356.5
2021-12-31,359.5,351.7130126953125,355.5,358.5,73390,358.5
2022-01-04,369.5,360.15399169921875,364.5,366.0,297065,366.0
2022-01-05,377.0,366.5,377.0,368.0,196182,368.0
2022-01-06,370.0,360.5,360.5,363.0,313319,363.0
2022-01-07,370.5,358.0,370.5,359.0,164010,359.0
2022-01-10,362.5,347.0,358.0,351.0,101838,351.0
2022-01-11,353.0,341.5,341.5,347.0,187490,347.0
2022-01-12,350.5,345.89599609375,348.0,347.0,155620,347.0
2022-01-13,351.0,342.5,347.5,347.0,495302,347.0
2022-01-14,350.5,341.0,341.0,342.0,176762,342.0
2022-01-17,348.0799865722656,333.0,333.0,345.5,110741,345.5
2022-01-18,344.0,335.5,337.0,342.0,161314,342.0
2022-01-19,353.0,342.0,344.0,348.0,185553,348.0
2022-01-20,353.0,345.364013671875,347.0,351.0,176215,351.0
2022-01-21,351.0,343.0,347.5,348.0,266786,348.0
2022-01-24,345.0,325.5,339.5,328.5,234427,328.5
2022-01-25,331.0,318.6579895019531,326.5,326.5,180833,326.5
2022-01-26,332.0,316.0,316.0,323.0,204786,323.0
2022-01-27,322.54998779296875,316.5,319.5,321.0,239962,321.0
2022-01-28,328.0,303.0,328.0,303.0,439453,303.0
2022-01-31,326.0,312.0,317.0,320.0,312072,320.0
2022-02-01,332.0,319.5,332.0,323.5,203577,323.5
2022-02-02,332.0,313.5,313.5,332.0,184943,332.0
2022-02-03,334.5,326.5,334.5,327.5,294196,327.5
2022-02-04,330.0,322.8340148925781,330.0,325.5,317417,325.5
2022-02-07,327.0,316.5,316.5,323.0,327985,323.0
2022-02-08,327.0,317.0,317.0,319.0,389740,319.0
2022-02-09,330.5,315.0,315.0,327.0,268251,327.0
2022-02-10,328.0,318.0,327.0,321.0,151295,321.0
2022-02-11,324.0,316.0,316.5,320.0,130066,320.0
2022-02-14,317.0,307.0,312.5,307.0,308002,307.0
2022-02-15,321.5,305.0,305.0,321.5,321389,321.5
2022-02-16,325.0,313.0,325.0,315.0,203804,315.0
2022-02-17,315.5,307.0,307.0,312.0,634677,312.0
2022-02-18,314.5,304.0,304.0,310.5,335387,310.5
2022-02-21,314.5,298.0,311.0,306.5,316900,306.5
2022-02-22,307.0,295.5,295.5,300.0,548423,300.0
2022-02-23,306.5,299.0,300.5,300.5,480171,300.5
2022-02-24,297.09600830078125,288.0,292.0,288.0,361148,288.0
2022-02-25,303.5,287.5,287.5,303.5,314275,303.5
2022-02-28,304.0,295.0,296.0,304.0,365763,304.0
2022-03-01,305.5,293.0,297.5,293.0,253884,293.0
2022-03-02,294.5,286.0,286.0,294.0,326883,294.0
2022-03-03,298.0,280.5,290.5,280.5,281644,280.5
2022-03-04,324.0,277.0,278.0,315.0,1807169,315.0
2022-03-07,317.5,300.5,303.0,300.5,1589919,300.5
2022-03-08,307.5,293.5,303.5,295.5,444357,295.5
