Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
6A=F,Australian Dollar Futures,0.7,4,0,42,3,49,2,-12,27,3,20,69
6B=F,British Pound Futures,1.34,5,-5,4,13,17,-24,-19,-9,28,-24,-7
6S=F,Swiss Franc Futures,1.26,4,-9,0,37,32,-47,-17,-8,28,-44,-12
6E=F,Euro FX Futures,1.16,5,-9,0,12,8,-24,-20,-11,26,-29,-21
6N=F,New Zealand Dollar Futures,0.58,4,-5,1,-43,-43,2,-5,-4,-15,-22,-65
6C=F,Canadian Dollar Futures,0.72,-17,-14,0,-29,-60,-24,-17,-3,3,-41,-101
6J=F,Japanese Yen Futures,0.01,6,-14,-36,-50,-94,2,-15,-44,-3,-60,-154
