Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
JDW.L,Wetherspoon (J D),720.5,198,19,0,-45,172,-12,19,-52,-3,-48,124
BREE.L,Breedon Group,455.0,10,-6,70,9,83,19,5,-2,15,37,120
JII.L,JPMorgan Indian Investment Trust,1014.0,27,3,-15,54,69,-1,16,-16,51,50,119
JEGI.L,JPMorgan European Growth & Income,118.5,0,17,6,54,77,-16,16,12,28,40,117
MYI.L,Murray International Trust,275.99,0,8,5,55,68,-10,16,25,10,41,109
IAD.L,Invesco Asia Dragon Trust,339.87,77,1,2,1,81,27,7,-9,2,27,108
N91.L,Ninety One,158.7,163,10,-30,0,143,9,12,-23,-35,-37,106
ALFA.L,Alfa Financial Software,242.0,0,8,52,8,68,7,12,-4,17,32,100
TEM.L,Templeton Emerging Markets Investment Trust,175.2,37,3,3,12,55,36,10,-16,14,44,99
SUPR.L,Supermarket Income REIT,78.2,-4,63,2,-18,43,9,63,7,-27,52,95
MOON.L,Moonpig,245.5,0,20,47,0,67,1,28,-15,11,25,92
FCSS.L,Fidelity China Special Situations,258.39,74,0,18,-28,64,38,5,26,-42,27,91
EDIN.L,Edinburgh Investment Trust,779.43,0,15,3,32,50,1,16,-29,53,41,91
ALPH.L,Alpha Group International,3085.0,0,16,18,15,49,-18,16,17,27,42,91
SVS.L,Savills,987.0,70,0,-11,-3,56,44,9,-30,11,34,90
SOI.L,Schroder Oriental Income Fund,276.0,36,3,1,16,56,28,13,-7,-2,32,88
AJB.L,AJ Bell,462.0,44,3,1,1,49,27,16,-15,11,39,88
MUT.L,Murray Income Trust,859.2,36,8,5,7,56,28,15,-10,-1,32,88
VEIL.L,Vietnam Enterprise Investments,550.0,113,-31,-7,0,75,42,4,-7,-29,10,85
IHP.L,IntegraFin Holdings,330.0,58,0,0,-11,47,27,12,-15,12,36,83
DLG.L,Direct Line,287.4,0,19,25,4,48,-9,16,18,10,35,83
ITH.L,Ithaca Energy,142.11,40,-13,2,0,29,37,4,18,-6,53,82
PPH.L,PPHE Hotel Group,1367.0,43,5,2,0,50,14,15,-8,10,31,81
CHG.L,Chemring Group,410.0,-1,14,4,24,41,4,14,6,15,39,80
ATYM.L,Atalaya Mining,414.5,19,9,3,14,45,27,16,-7,-2,34,79
SHED.L,Urban Logistics REIT,150.6,0,63,8,0,71,9,16,10,-29,6,77
IBST.L,Ibstock,188.6,19,22,1,0,42,27,16,-20,10,33,75
IGG.L,IG Group Holdings,1082.0,-1,19,56,13,87,-32,16,-8,11,-13,74
GDWN.L,Goodwin,6820.0,-1,0,0,34,33,8,16,-10,26,40,73
PHI.L,Pacific Horizon Investment Trust,600.0,74,2,-24,0,52,28,12,-16,-4,20,72
GNC.L,Greencore,189.0,53,0,2,2,57,1,13,-15,14,13,70
HWG.L,Harworth Group,171.5,-7,22,0,12,27,-14,33,10,11,40,67
JMAT.L,Johnson Matthey,1353.0,148,0,-37,-47,64,46,4,-7,-40,3,67
CTY.L,City of London Investment Trust,469.7,-3,20,6,19,42,-18,16,13,13,24,66
OCN.L,Ocean Wilsons,1330.0,19,-2,-1,24,40,-16,16,4,19,23,63
CHRY.L,Chrysalis Investments,100.7,45,3,0,-2,46,-1,15,-7,10,17,63
HTWS.L,Helios Towers,114.4,3,22,1,0,26,9,14,4,9,36,62
OSB.L,OneSavings Bank,472.6,-8,19,5,0,16,8,15,14,8,45,61
BOY.L,Bodycote,566.5,83,-42,-13,-12,16,102,-49,-4,-4,45,61
PPET.L,Patria Private Equity Trust,553.0,-21,0,0,58,37,-17,16,10,15,24,61
FGP.L,FirstGroup,184.0,1,10,5,37,53,-9,11,10,-5,7,60
NCC.L,NCC Group,155.4,40,14,0,-28,26,37,13,-23,7,34,60
ROO.L,Deliveroo,174.9,0,16,3,0,19,2,22,1,15,40,59
MEGP.L,ME Group International,206.63,-3,0,3,30,30,-18,16,-11,42,29,59
BWY.L,Bellway,2682.0,-9,19,-2,3,11,9,14,10,15,48,59
FRAS.L,Frasers Group,707.5,67,15,-30,0,52,27,15,-30,-6,6,58
SPT.L,Spirent,192.4,46,2,4,-27,25,19,12,-1,3,33,58
BAG.L,A.G. Barr,690.0,-21,28,7,2,16,-19,32,8,16,37,53
HGT.L,Hg Capital Trust,499.5,-23,-4,0,72,45,-36,16,10,18,8,53
BRBY.L,Burberry,965.6,44,0,0,-19,25,45,6,-6,-17,28,53
RPI.L,Raspberry Pi Holdings,527.55,27,0,0,0,27,27,3,-5,0,25,52
SRP.L,Serco,175.5,1,18,2,2,23,9,15,4,-1,27,50
VOF.L,VinaCapital Vietnam Opportunity Fund,419.0,27,0,-15,0,12,45,5,-8,-5,37,49
ENOG.L,Energean,948.0,37,2,-17,-3,19,45,14,-9,-20,30,49
COA.L,Coats Group,79.1,45,-70,-11,32,-4,45,4,-19,23,53,49
VSVS.L,Vesuvius,375.0,99,-45,-42,-3,9,45,4,-7,-4,38,47
LRE.L,Lancashire Holdings,619.0,20,1,-11,1,11,18,16,-25,26,35,46
SCT.L,Softcat,1810.0,2,11,3,3,19,1,11,1,13,26,45
CCR.L,C&C Group,149.2,159,12,-28,-64,79,-5,14,-42,-3,-36,43
FGT.L,Finsbury Growth & Income Trust,919.0,0,1,5,18,24,4,16,-6,5,19,43
THRL.L,Target Healthcare REIT,99.2,-21,46,10,1,36,-27,16,10,7,6,42
CGT.L,Capital Gearing Trust,4815.0,-5,10,4,2,11,9,16,-2,7,30,41
BOWL.L,Hollywood Bowl Group,295.5,-11,15,-17,28,15,-18,33,-14,24,25,40
DSCV.L,discoverIE,630.0,67,2,-43,-16,10,63,12,-13,-34,28,38
HMSO.L,Hammerson,263.2,23,0,-11,-6,6,27,15,-22,12,32,38
FSG.L,Foresight Group,397.0,65,7,-22,0,50,-16,14,-26,11,-17,33
SSPG.L,SSP Group,166.1,103,3,-13,-54,39,27,8,-11,-32,-8,31
ONT.L,Oxford Nanopore Technologies,128.85,41,5,-12,0,34,-1,30,-13,-20,-4,30
GRG.L,Greggs,1924.0,23,0,-19,-5,-1,19,15,-26,22,30,29
DEC.L,Diversified Energy,1065.0,75,0,0,-22,53,2,7,-8,-25,-24,29
JMG.L,JPMorgan Emerging Markets Investment Trust,110.2,36,3,1,-4,36,-1,14,-16,-5,-8,28
JTC.L,JTC,910.0,67,-40,-7,10,30,-1,5,-22,15,-3,27
BBGI.L,BBGI,142.2,15,67,15,-27,70,-44,16,8,-24,-44,26
BPT.L,Bridgepoint Group,294.0,32,-51,0,0,-19,37,2,-5,10,44,25
HVPE.L,HarbourVest Global Private Equity,2530.0,21,-32,0,7,-4,11,7,-6,14,26,22
CMCX.L,CMC Markets,253.5,-4,15,0,-7,4,9,16,-17,10,18,22
RS1.L,RS Group,596.5,56,0,-33,-17,6,45,3,-24,-9,15,21
QQ.L,Qinetiq,420.2,0,-3,0,18,15,8,14,-26,9,5,20
HFG.L,Hilton Food Group,882.0,-27,19,0,0,-8,9,26,-18,10,27,19
SHC.L,Shaftesbury Capital,140.4,0,20,0,0,20,2,12,-26,10,-2,18
IWG.L,IWG,190.3,17,3,4,-43,-19,9,14,-2,10,31,12
FOUR.L,4imprint,3550.0,27,-49,-13,0,-35,56,1,-7,-3,47,12
MGAM.L,Morgan Advanced Materials,219.0,45,0,-32,-9,4,37,5,-33,-1,8,12
PAY.L,PayPoint,673.0,-3,11,0,0,8,-9,16,-15,12,4,12
KIE.L,Kier Group,158.6,0,12,3,0,15,-19,16,-20,19,-4,11
RHIM.L,RHI Magnesita,3160.0,5,-36,-7,0,-38,18,14,-2,18,48,10
SSON.L,Smithson Investment Trust,1490.0,0,3,3,1,7,-8,14,-16,11,1,8
RSW.L,Renishaw,2735.0,45,0,-32,-33,-20,72,5,-46,-4,27,7
GROW.L,Molten Ventures,312.56,45,1,-22,-20,4,10,14,-26,5,3,7
ESP.L,Empiric Student Property,89.6,-27,21,-27,2,-31,-18,32,2,21,37,6
ROR.L,Rotork,314.2,45,-43,-9,7,0,9,4,-7,-1,5,5
TEP.L,Telecom Plus,1960.0,0,20,4,1,25,-10,14,-29,3,-22,3
TPK.L,Travis Perkins,616.0,102,4,-25,-36,45,9,11,-26,-36,-42,3
DNLM.L,Dunelm Group,1166.0,9,17,1,2,29,-19,16,-22,-5,-30,-1
ELM.L,Elementis,125.2,0,-38,-8,6,-40,18,10,-8,17,37,-3
AML.L,Aston Martin Lagonda,83.6,45,0,-73,-3,-31,72,9,-41,-13,27,-4
OXIG.L,Oxford Instruments,1890.0,58,0,-28,0,30,-1,7,-37,-3,-34,-4
CBG.L,Close Brothers Group,341.8,34,11,-35,-41,-31,36,14,9,-37,22,-9
SMWH.L,W H Smith,1016.0,56,-54,-13,-8,-19,50,2,-22,-20,10,-9
3IN.L,3i Infrastructure,327.0,-9,18,-1,2,10,-18,16,-30,11,-21,-11
PTEC.L,Playtech,366.5,-45,-5,-2,-1,-53,20,16,-4,10,42,-11
BYIT.L,Bytes Technology Group,520.5,-9,39,0,0,30,-11,31,-57,-5,-42,-12
JUST.L,Just Group,141.6,-8,-46,6,12,-36,-9,12,-2,22,23,-13
KNOS.L,Kainos,815.0,108,6,-37,-19,58,-11,14,-41,-33,-71,-13
WOSG.L,Watches of Switzerland,392.8,36,-55,-7,0,-26,45,2,-7,-31,9,-17
PETS.L,Pets at Home,257.0,29,9,-26,-17,-5,27,19,-26,-33,-13,-18
RICA.L,Ruffer Investment Company,278.86,0,14,4,0,18,14,-43,9,-17,-37,-19
MSLH.L,Marshalls,294.0,9,15,-19,-37,-32,9,16,-21,8,12,-20
FUTR.L,Future,757.5,60,-51,-9,-26,-26,9,5,-11,1,4,-22
INCH.L,Inchcape,686.0,37,0,-17,0,20,-1,5,-30,-16,-42,-22
AGR.L,Assura,48.68,-5,61,10,-34,32,-45,16,10,-35,-54,-22
CLDN.L,Caledonia Investments,3785.0,0,8,-24,7,-9,-17,14,-16,5,-14,-23
BLND.L,British Land,396.4,-5,19,-1,-27,-14,1,14,-26,1,-10,-24
SRE.L,Sirius Real Estate,91.7,-39,22,-1,-8,-26,-27,14,4,10,1,-25
PHLL.L,Petershill Partners,222.0,4,-47,1,0,-42,17,-3,-7,9,16,-26
RAT.L,Rathbones,1616.0,1,0,-12,-9,-20,28,11,-29,-19,-9,-29
CKN.L,Clarkson,3415.0,55,-45,-9,18,19,-1,-45,-3,-1,-50,-31
WIZZ.L,Wizz Air,1730.0,4,3,0,-37,-30,4,13,16,-36,-3,-33
IPO.L,IP Group,44.35,23,0,-8,-34,-19,18,13,-10,-35,-14,-33
ABDN.L,Aberdeen Group,164.9,34,0,1,-88,-53,26,9,-2,-13,20,-33
SXS.L,Spectris,2192.0,45,-50,-49,-12,-66,45,2,-5,-9,33,-33
HTG.L,Hunting,268.5,35,-49,-15,0,-29,45,-60,-30,39,-6,-35
GEN.L,Genuit Group,408.0,0,12,-1,-34,-23,-13,14,-27,12,-14,-37
BGFD.L,Baillie Gifford Japan Trust,745.0,-6,1,1,-6,-10,-1,15,-7,-36,-29,-39
