Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
0883.HK,CNOOC Limited,16.94,-81,-25,0,23,-83,-33,-16,-10,32,-27,-110
0823.HK,Link REIT,36.35,-20,-2,0,-30,-52,-22,-19,10,-31,-62,-114
2269.HK,WuXi Biologics,16.64,-5,37,-94,-12,-74,-12,-15,4,-32,-55,-129
0688.HK,China Overseas Land & Investment Limited,14.26,-14,-1,0,-55,-70,-12,-11,-14,-23,-60,-130
1177.HK,Sino Biopharm,3.37,-35,-1,8,-36,-64,-34,-14,14,-40,-74,-138
0011.HK,Hang Seng Bank Ltd,94.7,-19,-3,-1,-57,-80,-12,-14,-14,-25,-65,-145
1113.HK,CK Asset Holdings,31.75,-6,-2,-88,-21,-117,-12,-15,7,-19,-39,-156
1929.HK,Chow Tai Fook,7.33,-4,-1,-74,-14,-93,-12,-13,-27,-16,-68,-161
1093.HK,CSPC Pharmaceutical Group,5.34,-91,-3,-4,-22,-120,5,-11,-16,-33,-55,-175
2331.HK,Li-Ning,16.48,-2,-1,-89,-16,-108,-12,-14,-17,-26,-69,-177
0027.HK,Galaxy Entertainment Group Ltd.,34.65,-3,0,-57,-20,-80,-12,-13,-74,-8,-107,-187
1044.HK,Hengan International Group Co. Ltd,22.95,-7,-5,-5,-83,-100,-11,-16,-17,-43,-87,-187
0001.HK,CK Hutchison Holdings Limited,40.3,-14,-7,0,-79,-100,-12,-17,13,-78,-94,-194
1876.HK,Budweiser Brewing Company APAC,8.03,-4,-5,-73,0,-82,-3,-16,-80,-14,-113,-195
0017.HK,New World Development Company Limited,7.66,-16,-5,-74,-41,-136,-12,-16,1,-59,-86,-222
0101.HK,Hang Lung Properties Limited,6.52,-14,-3,-74,-37,-128,-12,-16,-80,-33,-141,-269
0968.HK,Xinyi Solar,3.42,-44,-3,-159,-22,-228,-42,-2,-23,-30,-97,-325
