Date,Kijun Direction,Kijun Signal Count
2021-11-01,,
2021-11-08,,
2021-11-15,,
2021-11-22,,
2021-11-29,,
2021-12-06,,
2021-12-13,,
2021-12-20,,
2021-12-27,,
2022-01-03,,
2022-01-10,,
2022-01-17,,
2022-01-24,,
2022-01-31,,
2022-02-07,,
2022-02-14,,
2022-02-21,,
2022-02-28,,
2022-03-07,,
2022-03-14,,
2022-03-21,,
2022-03-28,,
2022-04-04,,
2022-04-11,,
2022-04-18,,
2022-04-25,,
2022-05-02,-1.0,1.0
2022-05-09,-1.0,2.0
2022-05-16,-1.0,3.0
2022-05-23,-1.0,4.0
2022-05-30,-1.0,5.0
2022-06-06,-1.0,6.0
2022-06-13,-1.0,7.0
2022-06-20,-1.0,8.0
2022-06-27,-1.0,9.0
2022-07-04,-1.0,10.0
2022-07-11,-1.0,11.0
2022-07-18,-1.0,12.0
2022-07-25,-1.0,13.0
2022-08-01,-1.0,14.0
2022-08-08,-1.0,15.0
2022-08-15,-1.0,16.0
2022-08-22,-1.0,17.0
2022-08-29,-1.0,18.0
2022-09-05,-1.0,19.0
2022-09-12,-1.0,20.0
2022-09-19,-1.0,21.0
2022-09-26,-1.0,22.0
2022-10-03,-1.0,23.0
2022-10-10,-1.0,24.0
2022-10-17,-1.0,25.0
2022-10-24,1.0,1.0
2022-10-31,1.0,2.0
