Date,Kijun Direction,Kijun Signal Count
2022-01-17,,
2022-01-24,,
2022-01-31,,
2022-02-07,,
2022-02-14,,
2022-02-21,,
2022-02-28,,
2022-03-07,,
2022-03-14,,
2022-03-21,,
2022-03-28,,
2022-04-04,,
2022-04-11,,
2022-04-18,,
2022-04-25,,
2022-05-02,,
2022-05-09,,
2022-05-16,,
2022-05-23,,
2022-05-30,,
2022-06-06,,
2022-06-13,,
2022-06-20,,
2022-06-27,,
2022-07-04,,
2022-07-11,,
2022-07-18,1.0,1.0
2022-07-25,1.0,2.0
2022-08-01,1.0,3.0
2022-08-08,1.0,4.0
2022-08-15,1.0,5.0
2022-08-22,1.0,6.0
2022-08-29,1.0,7.0
2022-09-05,1.0,8.0
2022-09-12,1.0,9.0
2022-09-19,1.0,10.0
2022-09-26,1.0,11.0
2022-10-03,1.0,12.0
2022-10-10,1.0,13.0
2022-10-17,1.0,14.0
2022-10-24,1.0,15.0
2022-10-31,1.0,16.0
