Date,Symbol,Name,Direction,Count
2022-10-31,ZR=F,Rough Rice Futures,-1.0,1.0
2022-10-31,NG=F,Natural Gas Futures,-1.0,3.0
2022-10-31,ZM=F,Soybean Meal Futures,-1.0,5.0
2022-10-31,ZS=F,Soybean Futures,-1.0,6.0
2022-10-31,HO=F,Heating Oil Futures,-1.0,7.0
2022-10-31,BZ=F,Brent Crude Oil Futures,-1.0,9.0
2022-10-31,PA=F,Palladium Futures,-1.0,9.0
2022-10-31,LE=F,Live Cattle Futures,1.0,10.0
2022-10-31,RB=F,RBOB Gasoline Futures,-1.0,10.0
2022-10-31,HE=F,Lean Hogs Futures,-1.0,11.0
2022-10-31,CL=F,Crude Oil Futures,-1.0,12.0
2022-10-31,SB=F,Sugar Futures,-1.0,15.0
2022-10-31,ZC=F,Corn Futures,-1.0,16.0
2022-10-31,KC=F,Coffee  Futures,-1.0,17.0
2022-10-31,ZL=F,Soybean Oil Futures,-1.0,17.0
2022-10-31,MGC=F,Micro Gold Futures,-1.0,18.0
2022-10-31,GC=F,Gold Futures,-1.0,18.0
2022-10-31,PL=F,Platinum Futures,-1.0,19.0
2022-10-31,CT=F,Cotton  Futures,-1.0,20.0
2022-10-31,ZO=F,Oat Futures,-1.0,20.0
2022-10-31,CC=F,Cocoa  Futures,-1.0,22.0
2022-10-31,GF=F,Feeder Cattle Futures,1.0,23.0
2022-10-31,LBS=F,Random Length Lumber Futures,-1.0,24.0
2022-10-31,HG=F,Copper Futures,-1.0,26.0
2022-10-31,SI=F,Silver Futures,-1.0,26.0
2022-10-31,KE=F,KC HRW Wheat Futures,1.0,26.0
2022-10-31,SIL=F,Micro Silver Futures,-1.0,26.0
2022-10-31,YM=F,Mini Dow Jones Futures,-1.0,26.0
2022-10-31,ZN=F,10-Year T-Note Futures,-1.0,27.0
2022-10-31,RTY=F,E-mini Russell 2000 Futures,-1.0,27.0
2022-10-31,ZB=F,U.S. Treasury Bond Futures,-1.0,27.0
2022-10-31,ZF=F,Five-Year US Treasury Note Futures,-1.0,27.0
2022-10-31,ZT=F,2-Year T-Note Futures,-1.0,27.0
2022-10-31,OJ=F,Orange Juice  Futures,1.0,27.0
2022-10-31,NQ=F,Nasdaq 100 Futures,-1.0,27.0
2022-10-31,ES=F,E-Mini S&P 500 Futures,-1.0,27.0
