Date,High,Low,Open,Close,Volume,Adj Close,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2021-11-01,1250.25,1191.0,1236.25,1192.25,10617,1192.25,,,,,1655.5
2021-11-08,1237.75,1171.25,1190.0,1234.0,106420,1234.0,,,,,1723.25
2021-11-15,1289.25,1238.0,1242.25,1263.25,503845,1263.25,,,,,1705.25
2021-11-22,1281.0,1240.25,1264.25,1252.75,297608,1252.75,,,,,1732.25
2021-11-29,1270.0,1214.25,1260.75,1267.25,509607,1267.25,,,,,1697.75
2021-12-06,1276.5,1238.25,1271.75,1267.75,584396,1267.75,,,,,1745.5
2021-12-13,1297.5,1237.5,1271.0,1285.25,548923,1285.25,,,,,1702.0
2021-12-20,1334.0,1278.5,1289.5,1332.0,294441,1332.0,,,,,1610.75
2021-12-27,1375.75,1323.25,1337.5,1328.75,164769,1328.75,1273.5,,,,1626.0
2022-01-03,1405.5,1332.0,1340.25,1401.5,7930,1401.5,1288.375,,,,1630.25
2022-01-10,1396.0,1356.75,1394.0,1356.75,86883,1356.75,1309.875,,,,1466.0
2022-01-17,1429.5,1349.75,1360.0,1414.25,486027,1414.25,1321.875,,,,1434.5
2022-01-24,1479.0,1382.5,1419.5,1470.0,675242,1470.0,1346.625,,,,1637.0
2022-01-31,1564.0,1473.5,1474.0,1553.5,695436,1553.5,1400.75,,,,1614.75
2022-02-07,1633.0,1559.0,1571.0,1583.0,984907,1583.0,1435.25,,,,1669.25
2022-02-14,1608.5,1542.25,1587.0,1601.5,594604,1601.5,1455.75,,,,1488.75
2022-02-21,1765.0,1585.5,1609.0,1590.25,311912,1590.25,1544.125,,,,1605.25
2022-02-28,1709.0,1621.0,1642.5,1676.25,9393,1676.25,1548.5,,,,1510.5
2022-03-07,1745.25,1674.25,1696.5,1690.75,1663,1690.75,1557.375,,,,1489.25
2022-03-14,1710.0,1638.0,1708.0,1668.0,350566,1668.0,1557.375,,,,1448.5
2022-03-21,1736.5,1666.75,1673.0,1710.25,375554,1710.25,1573.75,,,,1425.75
2022-03-28,1710.0,1580.75,1703.0,1582.75,450759,1582.75,1619.25,,,,1364.75
2022-04-04,1689.75,1576.75,1584.0,1689.0,443839,1689.0,1653.625,,,,1367.0
2022-04-11,1697.5,1651.5,1691.0,1682.25,415398,1682.25,1653.625,,,,1383.75
2022-04-18,1757.5,1688.5,1688.75,1716.0,415664,1716.0,1670.875,,,,1395.5
2022-04-25,1735.5,1685.75,1715.0,1708.25,216234,1708.25,1667.125,1468.125,,,1387.75
2022-05-02,1712.25,1652.5,1712.25,1655.5,4215,1655.5,1667.125,1468.125,,,1407.5
2022-05-09,1723.25,1615.25,1652.5,1723.25,84179,1723.25,1667.125,1489.625,,,
2022-05-16,1710.75,1645.25,1657.5,1705.25,420319,1705.25,1667.125,1489.625,,,
2022-05-23,1744.25,1665.5,1706.0,1732.25,486279,1732.25,1667.125,1489.625,,,
2022-05-30,1749.25,1673.75,1737.75,1697.75,449813,1697.75,1667.125,1501.25,,,
2022-06-06,1784.0,1690.0,1709.0,1745.5,681453,1745.5,1699.625,1510.75,,,
2022-06-13,1757.0,1682.25,1751.5,1702.0,482676,1702.0,1699.625,1531.25,,,
2022-06-20,1702.0,1583.0,1695.0,1610.75,423591,1610.75,1683.5,1553.625,,,
2022-06-27,1702.75,1593.0,1599.0,1626.0,176678,1626.0,1683.5,1558.0,,,
2022-07-04,1635.0,1560.0,1620.0,1630.25,5687,1630.25,1672.0,1566.875,,,
2022-07-11,1660.0,1456.25,1645.0,1466.0,46542,1466.0,1620.125,1566.875,,,
2022-07-18,1513.5,1407.75,1478.25,1434.5,122431,1434.5,1595.875,1583.25,,,
2022-07-25,1671.0,1433.75,1450.0,1637.0,104721,1637.0,1595.875,1595.875,,,
2022-08-01,1650.0,1545.75,1650.0,1614.75,4228,1614.75,1595.875,1595.875,,,
2022-08-08,1737.75,1603.0,1605.5,1669.25,18326,1669.25,1582.375,1595.875,,,
2022-08-15,1530.75,1443.75,1521.0,1488.75,48597,1488.75,1572.75,1595.875,,,
2022-08-22,1614.0,1478.0,1484.25,1605.25,60255,1605.25,1572.75,1595.875,,,
2022-08-29,1612.25,1469.0,1606.25,1510.5,17219,1510.5,1572.75,1595.875,,,
2022-09-05,1503.75,1466.75,1493.0,1489.25,204,1489.25,1572.75,1595.875,,,
2022-09-12,1558.25,1433.75,1480.5,1448.5,296611,1448.5,1572.75,1595.875,,,
2022-09-19,1488.75,1420.5,1446.0,1425.75,527099,1425.75,1579.125,1595.875,,,
2022-09-26,1437.25,1363.25,1424.5,1364.75,767181,1364.75,1550.5,1573.625,,,
2022-10-03,1395.0,1350.0,1364.0,1367.0,602011,1367.0,1543.875,1567.0,,,
2022-10-10,1414.0,1365.25,1367.0,1383.75,812686,1383.75,1482.0,1567.0,,,
2022-10-17,1398.5,1357.0,1381.5,1395.5,612069,1395.5,1482.0,1567.0,,,
2022-10-24,1397.75,1366.0,1393.0,1387.75,483713,1387.75,1481.125,1567.0,1567.625,,
2022-10-31,1424.0,1397.75,1415.0,1407.5,82908,1407.5,1454.125,1567.0,1567.625,,
