2026-03-19 22:18:59,998 INFO __main__: Shim: launching scripts.runSPDR_ETFs
2026-03-19 22:19:00,010 INFO scripts.runSPDR_ETFs: SPDR ETFs task begins at: 2026-03-19 22:19:00 [UK]
2026-03-19 22:19:00,013 INFO src.mvc.core.DataPandasMVC: ----------- Reading symbols -----------
2026-03-19 22:19:00,013 INFO src.mvc.core.DataPandasMVC: readAssetList path: asset_list/SPDR_ETFs.csv
2026-03-19 22:19:00,013 INFO src.mvc.core.DataPandasMVC: ----------- Downloading from Yahoo -----------
2026-03-19 22:19:00,013 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLC 1y 1h
2026-03-19 22:19:00,710 INFO src.mvc.core.DataPandasMVC: 0 XLC -> data/spdr_etfs/1h/XLC.csv
2026-03-19 22:19:00,710 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLY 1y 1h
2026-03-19 22:19:01,015 INFO src.mvc.core.DataPandasMVC: 1 XLY -> data/spdr_etfs/1h/XLY.csv
2026-03-19 22:19:01,015 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLP 1y 1h
2026-03-19 22:19:01,224 INFO src.mvc.core.DataPandasMVC: 2 XLP -> data/spdr_etfs/1h/XLP.csv
2026-03-19 22:19:01,224 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLE 1y 1h
2026-03-19 22:19:01,556 INFO src.mvc.core.DataPandasMVC: 3 XLE -> data/spdr_etfs/1h/XLE.csv
2026-03-19 22:19:01,556 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLF 1y 1h
2026-03-19 22:19:01,775 INFO src.mvc.core.DataPandasMVC: 4 XLF -> data/spdr_etfs/1h/XLF.csv
2026-03-19 22:19:01,775 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLV 1y 1h
2026-03-19 22:19:02,001 INFO src.mvc.core.DataPandasMVC: 5 XLV -> data/spdr_etfs/1h/XLV.csv
2026-03-19 22:19:02,001 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLI 1y 1h
2026-03-19 22:19:02,256 INFO src.mvc.core.DataPandasMVC: 6 XLI -> data/spdr_etfs/1h/XLI.csv
2026-03-19 22:19:02,256 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLB 1y 1h
2026-03-19 22:19:02,618 INFO src.mvc.core.DataPandasMVC: 7 XLB -> data/spdr_etfs/1h/XLB.csv
2026-03-19 22:19:02,618 INFO src.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download XLRE 1y 1h
2026-03-19 22:19:02,833 INFO src.mvc.core.DataPandasMVC: 8 XLRE -> data/spdr_etfs/1h/XLRE.csv
