2026-08-29 09:40:30,993 INFO __main__: Shim: launching scripts.runCurrencyFutures
2026-08-29 09:40:31,005 INFO cloud_signal.runners.runCurrencyFutures: CurrencyFutures task begins at: 2026-08-29 10:40:31 [UK]
2026-08-29 09:40:31,008 INFO cloud_signal.mvc.core.DataPandasMVC: ----------- Reading symbols -----------
2026-08-29 09:40:31,008 INFO cloud_signal.mvc.core.DataPandasMVC: readAssetList path: asset_list/FuturesCurrency.csv
2026-08-29 09:40:31,008 INFO cloud_signal.mvc.core.DataPandasMVC: ----------- Downloading from Yahoo -----------
2026-08-29 09:40:31,009 INFO cloud_signal.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download 6E=F 1y 1h
2026-08-29 09:40:31,983 INFO cloud_signal.mvc.core.DataPandasMVC: 0 6E=F -> data/futurescurrency/1h/6E=F.csv
2026-08-29 09:40:31,983 INFO cloud_signal.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download 6J=F 1y 1h
2026-08-29 09:40:32,482 INFO cloud_signal.mvc.core.DataPandasMVC: 1 6J=F -> data/futurescurrency/1h/6J=F.csv
2026-08-29 09:40:32,482 INFO cloud_signal.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download 6A=F 1y 1h
2026-08-29 09:40:32,972 INFO cloud_signal.mvc.core.DataPandasMVC: 2 6A=F -> data/futurescurrency/1h/6A=F.csv
2026-08-29 09:40:32,972 INFO cloud_signal.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download 6B=F 1y 1h
2026-08-29 09:40:33,497 INFO cloud_signal.mvc.core.DataPandasMVC: 3 6B=F -> data/futurescurrency/1h/6B=F.csv
2026-08-29 09:40:33,497 INFO cloud_signal.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download 6C=F 1y 1h
2026-08-29 09:40:34,011 INFO cloud_signal.mvc.core.DataPandasMVC: 4 6C=F -> data/futurescurrency/1h/6C=F.csv
2026-08-29 09:40:34,011 INFO cloud_signal.mvc.core.DataPandasMVC: getLatestDataFromYahooByYFinance download 6S=F 1y 1h
