Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,4H Chikou Direction,4H Chikou Count,4H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
AU200_AUD,Australia 200,0,2,above chikou,-1,-14,below chikou,-1,-14,below chikou,1,16,above chikou,1,34,above chikou,24
AUD_CAD,AUD/CAD,1,17,above chikou,-1,-14,below chikou,1,30,above chikou,1,55,above chikou,1,13,above chikou,101
AUD_CHF,AUD/CHF,1,20,above chikou,-1,-21,below chikou,1,54,above chikou,1,40,above chikou,0,-49,below chikou,44
AUD_JPY,AUD/JPY,-1,-14,below chikou,-1,-7,below chikou,-1,-18,below chikou,0,-3,below chikou,1,67,above chikou,25
AUD_NZD,AUD/NZD,1,18,above chikou,-1,-12,below chikou,1,26,above chikou,1,56,above chikou,1,15,above chikou,103
AUD_USD,AUD/USD,1,5,above chikou,-1,-69,below chikou,-1,-3,below chikou,0,68,above chikou,1,11,above chikou,12
BCO_USD,Brent Crude Oil,-1,-9,below chikou,0,-6,below chikou,1,18,above chikou,0,33,above chikou,1,3,above chikou,39
CAD_CHF,CAD/CHF,0,-10,below chikou,-1,-33,below chikou,1,58,above chikou,1,10,above chikou,-1,-43,below chikou,-18
CAD_JPY,CAD/JPY,-1,-21,below chikou,-1,-7,below chikou,-1,-28,below chikou,-1,-4,below chikou,0,67,above chikou,7
CH20_CHF,Switzerland 20,1,13,above chikou,1,24,above chikou,-1,-19,below chikou,1,51,above chikou,1,27,above chikou,96
CHF_JPY,CHF/JPY,-1,-38,below chikou,-1,-3,below chikou,-1,-42,below chikou,-1,-9,below chikou,1,76,above chikou,-16
CHINAH_HKD,China H Shares,-1,-51,below chikou,-1,-5,below chikou,-1,-17,below chikou,-1,-31,below chikou,1,24,above chikou,-80
CN50_USD,China A50,-1,-60,below chikou,-1,-6,below chikou,-1,-63,below chikou,0,-2,below chikou,1,16,above chikou,-115
CORN_USD,Corn,0,-56,below chikou,-1,-14,below chikou,1,53,above chikou,1,10,above chikou,1,2,above chikou,-5
DE10YB_EUR,Bund,-1,-51,below chikou,-1,-14,below chikou,-1,-58,below chikou,-1,-13,below chikou,-1,-60,below chikou,-196
DE30_EUR,Germany 30,1,17,above chikou,0,5,above chikou,-1,-13,below chikou,1,9,above chikou,1,35,above chikou,53
ESPIX_EUR,Spain 35,1,7,above chikou,0,19,above chikou,0,-13,below chikou,1,152,above chikou,1,52,above chikou,217
EU50_EUR,Europe 50,1,24,above chikou,1,7,above chikou,-1,-14,below chikou,1,52,above chikou,1,35,above chikou,104
EUR_AUD,EUR/AUD,0,62,above chikou,1,14,above chikou,-1,-26,below chikou,-1,-40,below chikou,0,-6,below chikou,4
EUR_CAD,EUR/CAD,1,29,above chikou,1,8,above chikou,0,5,above chikou,1,3,above chikou,1,32,above chikou,77
EUR_GBP,EUR/GBP,-1,-1,below chikou,1,38,above chikou,1,8,above chikou,-1,-29,below chikou,1,13,above chikou,29
EUR_JPY,EUR/JPY,-1,-12,below chikou,-1,-7,below chikou,-1,-41,below chikou,-1,-4,below chikou,1,67,above chikou,3
EUR_NZD,EUR/NZD,1,63,above chikou,1,14,above chikou,1,18,above chikou,1,3,above chikou,1,43,above chikou,141
EUR_TRY,EUR/TRY,1,5,above chikou,-1,-25,below chikou,-1,-1,below chikou,1,287,above chikou,1,192,above chikou,458
EUR_USD,EUR/USD,1,15,above chikou,-1,-69,below chikou,-1,-8,below chikou,-1,-17,below chikou,1,18,above chikou,-61
FR40_EUR,France 40,1,3,above chikou,-1,-2,below chikou,-1,-22,below chikou,1,3,above chikou,1,70,above chikou,52
GBP_AUD,GBP/AUD,1,56,above chikou,1,12,above chikou,-1,-39,below chikou,-1,-52,below chikou,-1,-6,below chikou,-29
GBP_CAD,GBP/CAD,1,27,above chikou,-1,-20,below chikou,-1,-36,below chikou,1,19,above chikou,1,29,above chikou,19
