Date,Symbol,Name,1M Chikou Direction,1M Chikou Count,1M Chikou State
2026-09-01,0960.HK,Longfor Properties,-1,-51,below chikou
2026-09-01,2313.HK,Shenzhou International,-1,-50,below chikou
2026-09-01,1876.HK,Budweiser Brewing Company APAC,-1,-49,below chikou
2026-09-01,0881.HK,Zhongsheng Group,-1,-49,below chikou
2026-09-01,0968.HK,Xinyi Solar,-1,-48,below chikou
2026-09-01,0291.HK,China Resources Beer,-1,-43,below chikou
2026-09-01,1928.HK,Sands China,0,-20,below chikou
2026-09-01,2015.HK,Li Auto,-1,-14,below chikou
2026-09-01,3690.HK,Meituan,-1,-5,below chikou
2026-09-01,6690.HK,Haier,0,-5,below chikou
2026-09-01,1099.HK,Sinopharm Group,-1,-5,below chikou
2026-09-01,0285.HK,BYD Electronics,-1,-4,below chikou
2026-09-01,2331.HK,Li-Ning,0,-4,below chikou
2026-09-01,2688.HK,ENN Energy,0,-4,below chikou
2026-09-01,1024.HK,Kuaishou,-1,-4,below chikou
2026-09-01,6862.HK,Haidilao,0,-4,below chikou
2026-09-01,9961.HK,Trip.com Group,-1,-4,below chikou
2026-09-01,0836.HK,China Resources Power,0,-2,below chikou
2026-09-01,0762.HK,China Unicom,-1,-1,below chikou
2026-09-01,0300.HK,Midea Group,0,0,neutral chikou
2026-09-01,2020.HK,Anta Sports,1,1,above chikou
2026-09-01,0027.HK,Galaxy Entertainment Group Ltd.,1,1,above chikou
2026-09-01,2319.HK,Mengniu Dairy,1,4,above chikou
2026-09-01,2382.HK,Sunny Optical,1,6,above chikou
2026-09-01,2269.HK,WuXi Biologics,1,6,above chikou
2026-09-01,0688.HK,China Overseas Land & Investment Limited,0,8,above chikou
2026-09-01,2057.HK,ZTO Express,1,8,above chikou
2026-09-01,0101.HK,Hang Lung Properties Limited,1,8,above chikou
2026-09-01,1997.HK,Wharf Real Estate Investment Company Limited,1,9,above chikou
2026-09-01,9888.HK,Baidu,0,9,above chikou
2026-09-01,1109.HK,China Resources Land Limited,1,9,above chikou
2026-09-01,0868.HK,Xinyi Glass,1,9,above chikou
2026-09-01,9618.HK,JD.com,0,9,above chikou
2026-09-01,0066.HK,MTR Corporation Ltd,1,11,above chikou
2026-09-01,1044.HK,Hengan International Group Co. Ltd,0,11,above chikou
2026-09-01,1113.HK,CK Asset Holdings,1,11,above chikou
2026-09-01,1299.HK,AIA Group Limited,1,12,above chikou
2026-09-01,0016.HK,Sun Hung Kai Properties Limited,1,13,above chikou
2026-09-01,0823.HK,Link REIT,1,13,above chikou
2026-09-01,6618.HK,JD Health,1,14,above chikou
2026-09-01,1209.HK,China Resources Mixc Lifestyle,1,14,above chikou
2026-09-01,0241.HK,Alibaba Health,0,14,above chikou
2026-09-01,1929.HK,Chow Tai Fook,1,14,above chikou
2026-09-01,9633.HK,Nongfu Spring,1,15,above chikou
2026-09-01,2359.HK,WuXi AppTec,1,15,above chikou
2026-09-01,2618.HK,JD Logistics,1,15,above chikou
2026-09-01,0012.HK,Henderson Land Development Company Limited,1,16,above chikou
2026-09-01,2318.HK,Ping An Insurance,1,16,above chikou
2026-09-01,1093.HK,CSPC Pharmaceutical Group,1,16,above chikou
2026-09-01,1177.HK,Sino Biopharm,1,17,above chikou
2026-09-01,0003.HK,Hong Kong and China Gas Company Limited,1,17,above chikou
2026-09-01,0322.HK,Tingyi,1,21,above chikou
2026-09-01,9988.HK,Alibaba Group,1,21,above chikou
2026-09-01,0001.HK,CK Hutchison Holdings Limited,1,22,above chikou
2026-09-01,0316.HK,Orient Overseas (International) Limited,1,22,above chikou
2026-09-01,0388.HK,HKEx Limited,1,22,above chikou
2026-09-01,9999.HK,NetEase,1,22,above chikou
2026-09-01,0175.HK,Geely Auto,1,22,above chikou
2026-09-01,1211.HK,BYD Company,1,23,above chikou
2026-09-01,3968.HK,China Merchants Bank,1,24,above chikou
2026-09-01,2388.HK,BOC Hong Kong (Holdings) Ltd,1,24,above chikou
2026-09-01,0002.HK,CLP Holdings Limited,1,25,above chikou
2026-09-01,0981.HK,Semiconductor Manufacturing International Corporation,1,25,above chikou
2026-09-01,0669.HK,Techtronic Industries,1,26,above chikou
2026-09-01,2628.HK,China Life,1,27,above chikou
2026-09-01,1038.HK,Cheung Kong Infrastructure Holdings Limited,1,27,above chikou
2026-09-01,0006.HK,Power Assets Holdings Limited,1,27,above chikou
2026-09-01,9992.HK,Pop Mart,1,28,above chikou
2026-09-01,0700.HK,Tencent Holdings Limited,1,28,above chikou
2026-09-01,3692.HK,Hansoh Pharmaceutical Group,1,28,above chikou
2026-09-01,1810.HK,Xiaomi,1,30,above chikou
2026-09-01,1378.HK,China Hongqiao Group,1,31,above chikou
2026-09-01,0939.HK,China Construction Bank,1,33,above chikou
2026-09-01,1398.HK,Industrial and Commercial Bank of China,1,34,above chikou
2026-09-01,0288.HK,WH Group,1,34,above chikou
2026-09-01,0267.HK,CITIC Limited,1,34,above chikou
2026-09-01,0992.HK,Lenovo,1,38,above chikou
2026-09-01,0941.HK,China Mobile Ltd,1,50,above chikou
2026-09-01,0005.HK,HSBC Holdings plc,1,53,above chikou
2026-09-01,0883.HK,CNOOC Limited,1,54,above chikou
2026-09-01,0386.HK,Sinopec Corp,0,57,above chikou
2026-09-01,3988.HK,Bank of China Ltd,1,57,above chikou
2026-09-01,0857.HK,PetroChina Company Limited,1,60,above chikou
2026-09-01,1088.HK,China Shenhua Energy,1,65,above chikou
2026-09-01,2899.HK,Zijin Mining,1,76,above chikou
