Datetime,Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State
2026-09-02 15:30:00+08:00,1044.HK,Hengan International Group Co. Ltd,-1,-71,below chikou
2026-09-02 15:30:00+08:00,0322.HK,Tingyi,-1,-56,below chikou
2026-09-02 15:30:00+08:00,2618.HK,JD Logistics,-1,-56,below chikou
2026-09-02 15:30:00+08:00,0027.HK,Galaxy Entertainment Group Ltd.,-1,-49,below chikou
2026-09-02 15:30:00+08:00,0288.HK,WH Group,-1,-49,below chikou
2026-09-02 15:30:00+08:00,0066.HK,MTR Corporation Ltd,-1,-44,below chikou
2026-09-02 15:30:00+08:00,9618.HK,JD.com,-1,-44,below chikou
2026-09-02 15:30:00+08:00,0006.HK,Power Assets Holdings Limited,0,-44,below chikou
2026-09-02 15:30:00+08:00,0669.HK,Techtronic Industries,-1,-43,below chikou
2026-09-02 15:30:00+08:00,2313.HK,Shenzhou International,-1,-43,below chikou
2026-09-02 15:30:00+08:00,0881.HK,Zhongsheng Group,-1,-43,below chikou
2026-09-02 15:30:00+08:00,0175.HK,Geely Auto,-1,-41,below chikou
2026-09-02 15:30:00+08:00,0823.HK,Link REIT,-1,-41,below chikou
2026-09-02 15:30:00+08:00,0016.HK,Sun Hung Kai Properties Limited,-1,-39,below chikou
2026-09-02 15:30:00+08:00,0003.HK,Hong Kong and China Gas Company Limited,-1,-38,below chikou
2026-09-02 15:30:00+08:00,0291.HK,China Resources Beer,-1,-37,below chikou
2026-09-02 15:30:00+08:00,1928.HK,Sands China,-1,-37,below chikou
2026-09-02 15:30:00+08:00,0316.HK,Orient Overseas (International) Limited,-1,-36,below chikou
2026-09-02 15:30:00+08:00,1113.HK,CK Asset Holdings,-1,-36,below chikou
2026-09-02 15:30:00+08:00,1038.HK,Cheung Kong Infrastructure Holdings Limited,-1,-36,below chikou
2026-09-02 15:30:00+08:00,0012.HK,Henderson Land Development Company Limited,-1,-36,below chikou
2026-09-02 15:30:00+08:00,1211.HK,BYD Company,-1,-35,below chikou
2026-09-02 15:30:00+08:00,0101.HK,Hang Lung Properties Limited,-1,-35,below chikou
2026-09-02 15:30:00+08:00,1876.HK,Budweiser Brewing Company APAC,-1,-35,below chikou
2026-09-02 15:30:00+08:00,0762.HK,China Unicom,-1,-34,below chikou
2026-09-02 15:30:00+08:00,1378.HK,China Hongqiao Group,-1,-29,below chikou
2026-09-02 15:30:00+08:00,2319.HK,Mengniu Dairy,-1,-28,below chikou
2026-09-02 15:30:00+08:00,2359.HK,WuXi AppTec,-1,-25,below chikou
2026-09-02 15:30:00+08:00,9999.HK,NetEase,-1,-25,below chikou
2026-09-02 15:30:00+08:00,1109.HK,China Resources Land Limited,-1,-25,below chikou
2026-09-02 15:30:00+08:00,0688.HK,China Overseas Land & Investment Limited,-1,-23,below chikou
