Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
ABNB,Airbnb,-1,-44,below chikou,-1,-6,below chikou,1,31,above chikou,0,2,above chikou,-17
AMZN,Amazon,-1,-14,below chikou,-1,-13,below chikou,1,25,above chikou,1,31,above chikou,29
APTV,Aptiv,0,-2,below chikou,-1,-56,below chikou,-1,-31,below chikou,-1,-44,below chikou,-133
AZO,AutoZone,1,1,above chikou,-1,-15,below chikou,-1,-42,below chikou,0,3,above chikou,-53
BBY,Best Buy,-1,-13,below chikou,1,13,above chikou,1,16,above chikou,1,5,above chikou,21
BKNG,Booking Holdings,-1,-55,below chikou,-1,-15,below chikou,-1,-2,below chikou,0,71,above chikou,-1
CCL,Carnival Corporation,-1,-2,below chikou,-1,-25,below chikou,-1,-14,below chikou,1,26,above chikou,-15
CMG,Chipotle Mexican Grill,-1,-56,below chikou,-1,-3,below chikou,0,3,above chikou,-1,-12,below chikou,-68
DECK,Deckers Brands,0,3,above chikou,-1,-58,below chikou,-1,-10,below chikou,-1,-7,below chikou,-72
DHI,D. R. Horton,1,20,above chikou,-1,-16,below chikou,1,1,above chikou,0,77,above chikou,82
DPZ,Domino's,-1,-105,below chikou,-1,-15,below chikou,-1,-59,below chikou,-1,-7,below chikou,-186
DRI,Darden Restaurants,-1,-3,below chikou,-1,-7,below chikou,1,9,above chikou,1,70,above chikou,69
EBAY,eBay Inc.,-1,-15,below chikou,1,5,above chikou,1,26,above chikou,1,27,above chikou,43
EXPE,Expedia Group,-1,-35,below chikou,-1,-12,below chikou,1,9,above chikou,1,26,above chikou,-12
F,Ford Motor Company,-1,-82,below chikou,-1,-20,below chikou,1,20,above chikou,0,12,above chikou,-70
GM,General Motors,-1,-4,below chikou,-1,-15,below chikou,1,10,above chikou,1,28,above chikou,19
GPC,Genuine Parts Company,1,5,above chikou,-1,-7,below chikou,1,5,above chikou,0,-8,below chikou,-5
GRMN,Garmin,1,24,above chikou,-1,-13,below chikou,1,24,above chikou,1,32,above chikou,67
HAS,Hasbro,0,-44,below chikou,-1,-14,below chikou,0,-6,below chikou,1,20,above chikou,-44
HD,Home Depot (The),-1,-14,below chikou,-1,-16,below chikou,-1,-11,below chikou,-1,-6,below chikou,-47
HLT,Hilton Worldwide,1,18,above chikou,-1,-17,below chikou,1,66,above chikou,1,74,above chikou,141
LEN,Lennar,1,21,above chikou,-1,-15,below chikou,-1,-35,below chikou,-1,-8,below chikou,-37
LOW,Lowe's,-1,-14,below chikou,-1,-15,below chikou,-1,-22,below chikou,-1,-5,below chikou,-56
LULU,Lululemon Athletica,1,29,above chikou,-1,-13,below chikou,-1,-77,below chikou,-1,-19,below chikou,-80
LVS,Las Vegas Sands,-1,-85,below chikou,-1,-18,below chikou,-1,-22,below chikou,0,12,above chikou,-113
MAR,Marriott International,1,29,above chikou,0,-55,below chikou,1,55,above chikou,1,70,above chikou,99
MCD,McDonald's,-1,-14,below chikou,-1,-16,below chikou,-1,-23,below chikou,0,265,above chikou,212
MGM,MGM Resorts,-1,-14,below chikou,-1,-53,below chikou,-1,-1,below chikou,-1,-1,below chikou,-69
NCLH,Norwegian Cruise Line Holdings,-1,-1,below chikou,-1,-27,below chikou,-1,-37,below chikou,-1,-2,below chikou,-67
NKE,"Nike, Inc.",1,5,above chikou,-1,-32,below chikou,-1,-39,below chikou,-1,-49,below chikou,-115
NVR,"NVR, Inc.",1,21,above chikou,-1,-15,below chikou,-1,-33,below chikou,-1,-7,below chikou,-34
ORLY,O'Reilly Automotive,1,21,above chikou,-1,-15,below chikou,-1,-34,below chikou,1,99,above chikou,71
PHM,PulteGroup,0,21,above chikou,-1,-15,below chikou,0,-11,below chikou,0,45,above chikou,40
RCL,Royal Caribbean Group,-1,-17,below chikou,-1,-17,below chikou,-1,-7,below chikou,1,40,above chikou,-1
RL,Ralph Lauren Corporation,1,18,above chikou,-1,-26,below chikou,0,-5,below chikou,1,62,above chikou,49
ROST,Ross Stores,1,28,above chikou,-1,-18,below chikou,1,59,above chikou,1,35,above chikou,104
SBUX,Starbucks,-1,-107,below chikou,-1,-11,below chikou,0,36,above chikou,1,8,above chikou,-74
TJX,TJX Companies,1,35,above chikou,-1,-24,below chikou,-1,-6,below chikou,1,209,above chikou,214
TPR,"Tapestry, Inc.",-1,-36,below chikou,-1,-28,below chikou,-1,-7,below chikou,1,32,above chikou,-39
TSCO,Tractor Supply,-1,-44,below chikou,-1,-6,below chikou,-1,-39,below chikou,-1,-6,below chikou,-95
TSLA,"Tesla, Inc.",0,42,above chikou,1,18,above chikou,0,-17,below chikou,1,23,above chikou,66
ULTA,Ulta Beauty,-1,-1,below chikou,1,3,above chikou,1,1,above chikou,1,14,above chikou,17
WYNN,Wynn Resorts,-1,-85,below chikou,-1,-18,below chikou,-1,-31,below chikou,0,14,above chikou,-120
YUM,Yum! Brands,-1,-1,below chikou,-1,-12,below chikou,-1,-11,below chikou,1,34,above chikou,10
