Date,Symbol,Name,1W Chikou Direction,1W Chikou Count,1W Chikou State
2026-09-21,III.L,3i,0,-46,below chikou
2026-09-21,WTB.L,Whitbread,0,-44,below chikou
2026-09-21,BRBY.L,Burberry Group,0,-36,below chikou
2026-09-21,SN.L,Smith & Nephew,-1,-33,below chikou
2026-09-21,MRO.L,Melrose Industries,0,-31,below chikou
2026-09-21,PSH.L,Pershing Square Holdings,-1,-30,below chikou
2026-09-21,RKT.L,Reckitt,0,-29,below chikou
2026-09-21,STJ.L,St. James's Place,-1,-28,below chikou
2026-09-21,IMB.L,Imperial Brands,-1,-24,below chikou
2026-09-21,BAB.L,Babcock International,-1,-23,below chikou
2026-09-21,WEIR.L,Weir,0,-22,below chikou
2026-09-21,PRU.L,Prudential plc,-1,-17,below chikou
2026-09-21,FRES.L,Fresnillo plc,0,-14,below chikou
2026-09-21,RTO.L,Rentokil Initial,-1,-14,below chikou
2026-09-21,AAF.L,Airtel Africa,-1,-12,below chikou
2026-09-21,HWDN.L,Howdens Joinery,0,-12,below chikou
2026-09-21,AZN.L,AstraZeneca,-1,-12,below chikou
2026-09-21,CNA.L,Centrica,-1,-11,below chikou
2026-09-21,LMP.L,LondonMetric Property,0,-10,below chikou
2026-09-21,HLN.L,Haleon,-1,-9,below chikou
2026-09-21,NG.L,National Grid plc,-1,-8,below chikou
2026-09-21,SSE.L,SSE plc,0,-8,below chikou
2026-09-21,BATS.L,British American Tobacco,-1,-7,below chikou
2026-09-21,GSK.L,GSK plc,0,-7,below chikou
2026-09-21,BBOX.L,Tritax Big Box REIT,0,-6,below chikou
2026-09-21,HLMA.L,Halma plc,0,-6,below chikou
2026-09-21,BA.L,BAE Systems,-1,-5,below chikou
2026-09-21,CTEC.L,Convatec,0,-4,below chikou
2026-09-21,LSEG.L,London Stock Exchange Group,-1,-3,below chikou
2026-09-21,REL.L,RELX,0,-3,below chikou
2026-09-21,IGG.L,IG Group,-1,-1,below chikou
2026-09-21,CCH.L,Coca-Cola HBC,1,1,above chikou
2026-09-21,TSCO.L,Tesco,1,1,above chikou
2026-09-21,SVT.L,Severn Trent,1,1,above chikou
2026-09-21,ULVR.L,Unilever,1,1,above chikou
2026-09-21,ANTO.L,Antofagasta plc,1,1,above chikou
2026-09-21,KGF.L,Kingfisher plc,1,1,above chikou
2026-09-21,EDV.L,Endeavour Mining,1,1,above chikou
2026-09-21,SBRY.L,Sainsbury's,1,1,above chikou
2026-09-21,BTRW.L,Barratt Redrow,1,2,above chikou
2026-09-21,SMIN.L,Smiths Group,1,2,above chikou
2026-09-21,SDR.L,Schroders,1,2,above chikou
2026-09-21,SPX.L,Spirax Group,1,2,above chikou
2026-09-21,MKS.L,Marks & Spencer,1,3,above chikou
2026-09-16,IAG.L,International Airlines Group,1,3,above chikou
2026-09-21,DGE.L,Diageo,1,4,above chikou
2026-09-21,AUTO.L,Autotrader Group,1,7,above chikou
2026-09-21,SGE.L,Sage Group,1,8,above chikou
2026-09-21,ICG.L,ICG,1,8,above chikou
2026-09-21,EXPN.L,Experian,0,8,above chikou
