Date,Symbol,Name,1M Chikou Direction,1M Chikou Count,1M Chikou State
2026-09-01,SYNC.L,Syncona,0,-71,below chikou
2026-09-01,AML.L,Aston Martin Lagonda,-1,-70,below chikou
2026-09-01,TATE.L,Tate & Lyle,-1,-62,below chikou
2026-09-01,PNN.L,Pennon Group,-1,-58,below chikou
2026-09-01,VCT.L,Victrex,-1,-57,below chikou
2026-09-01,DLN.L,Derwent London,-1,-57,below chikou
2026-09-01,GPE.L,Great Portland Estates,0,-56,below chikou
2026-09-01,WIZZ.L,Wizz Air,-1,-56,below chikou
2026-09-01,OCDO.L,Ocado Group,-1,-55,below chikou
2026-09-01,TPK.L,Travis Perkins,-1,-55,below chikou
2026-09-01,GRI.L,Grainger,-1,-50,below chikou
2026-09-01,SEIT.L,SDCL Efficiency Income Trust,-1,-49,below chikou
2026-09-01,HAS.L,Hays,-1,-49,below chikou
2026-09-01,PETS.L,Pets at Home,-1,-47,below chikou
2026-09-01,THG.L,THG,-1,-47,below chikou
2026-09-01,TRIG.L,The Renewables Infrastructure Group,-1,-46,below chikou
2026-09-01,MNDI.L,Mondi,-1,-46,below chikou
2026-09-01,DOCS.L,Dr. Martens,0,-43,below chikou
2026-09-01,ATG.L,Auction Technology Group,-1,-42,below chikou
2026-09-01,PAGE.L,PageGroup,-1,-41,below chikou
2026-09-01,UTG.L,Unite Group,-1,-41,below chikou
2026-09-01,SMWH.L,WHSmith,-1,-41,below chikou
2026-09-01,FGEN.L,Foresight Environmental Infrastructure,0,-40,below chikou
2026-09-01,UKW.L,Greencoat UK Wind,-1,-29,below chikou
2026-09-01,ENOG.L,Energean,-1,-28,below chikou
2026-09-01,MONY.L,MONY Group,-1,-24,below chikou
2026-09-01,FRAS.L,Frasers Group,-1,-24,below chikou
2026-09-01,GRG.L,Greggs,-1,-20,below chikou
2026-09-01,BME.L,B&M,-1,-20,below chikou
2026-09-01,BKG.L,Berkeley Group Holdings,-1,-20,below chikou
2026-09-01,WPP.L,WPP,-1,-20,below chikou
2026-09-01,MGAM.L,Morgan Advanced Materials,-1,-20,below chikou
2026-09-01,DATA.L,GlobalData,-1,-19,below chikou
2026-09-01,VTY.L,Vistry Group,-1,-19,below chikou
2026-09-01,DOM.L,Domino's Pizza,-1,-19,below chikou
2026-09-01,NBPE.L,NB Private Equity Partners,-1,-19,below chikou
2026-09-01,WKP.L,Workspace Group,-1,-19,below chikou
2026-09-01,FOUR.L,4imprint,-1,-19,below chikou
2026-09-01,PTEC.L,Playtech,-1,-17,below chikou
2026-09-01,BYIT.L,Bytes Technology Group,-1,-15,below chikou
2026-09-01,TW.L,Taylor Wimpey,-1,-15,below chikou
2026-09-01,RHIM.L,RHI Magnesita,-1,-14,below chikou
2026-09-01,GAMA.L,Gamma Communications,-1,-14,below chikou
2026-09-01,HIK.L,Hikma Pharmaceuticals,-1,-13,below chikou
2026-09-01,HFG.L,Hilton Food Group,-1,-11,below chikou
2026-09-01,TRN.L,Trainline,-1,-10,below chikou
2026-09-01,SPI.L,Spire Healthcare,0,-10,below chikou
2026-09-01,TEP.L,Telecom Plus,-1,-10,below chikou
2026-09-01,DNLM.L,Dunelm Group,-1,-9,below chikou
2026-09-01,BCG.L,Baltic Classifieds,-1,-8,below chikou
2026-09-01,GBG.L,GB Group,-1,-8,below chikou
2026-09-01,BYG.L,Big Yellow Group,-1,-8,below chikou
2026-09-01,RMV.L,Rightmove,-1,-8,below chikou
2026-09-01,VSVS.L,Vesuvius,-1,-7,below chikou
2026-09-01,SVS.L,Savills,-1,-7,below chikou
2026-09-01,SAFE.L,Safestore,-1,-7,below chikou
2026-09-01,BOWL.L,Hollywood Bowl Group,-1,-7,below chikou
2026-09-01,GEN.L,Genuit Group,-1,-7,below chikou
2026-09-01,FGT.L,Finsbury Growth & Income Trust,-1,-7,below chikou
2026-09-01,HGT.L,Hg Capital Trust,-1,-7,below chikou
2026-09-01,BREE.L,Breedon Group,-1,-7,below chikou
2026-09-01,BRGE.L,BlackRock Greater Europe Investment Trust,0,-7,below chikou
2026-09-01,BWY.L,Bellway,-1,-7,below chikou
2026-09-01,AIE.L,Ashoka India Equity Investment Trust,-1,-7,below chikou
2026-09-01,PHP.L,Primary Health Properties,0,-7,below chikou
2026-09-01,ALFA.L,Alfa Financial Software,-1,-6,below chikou
2026-09-01,MEGP.L,ME Group International,-1,-5,below chikou
2026-09-01,COA.L,Coats Group,0,-4,below chikou
2026-09-01,HBR.L,Harbour Energy,-1,-4,below chikou
2026-09-01,VOF.L,VinaCapital Vietnam Opportunity Fund,-1,-4,below chikou
2026-09-01,PEY.L,Partners Group Private Equity,-1,-4,below chikou
2026-09-01,AO.L,AO World,-1,-4,below chikou
2026-09-01,CBG.L,Close Brothers Group,0,-3,below chikou
2026-09-01,BRSC.L,BlackRock Smaller Companies Trust,-1,-3,below chikou
2026-09-01,JSG.L,Johnson Service Group,0,-2,below chikou
2026-09-01,ITV.L,ITV,-1,-2,below chikou
2026-09-01,TRY.L,TR Property Investment Trust,-1,-2,below chikou
2026-09-01,MAB.L,Mitchells & Butlers,-1,-1,below chikou
2026-09-01,NCC.L,NCC Group,-1,-1,below chikou
2026-09-01,ROSE.L,Rosebank Industries,-1,-1,below chikou
2026-09-01,PRN.L,Princes Group,0,0,neutral chikou
2026-09-01,APN.L,Applied Nutrition,0,0,neutral chikou
2026-09-01,SHAW.L,Shawbrook Bank,0,0,neutral chikou
2026-09-01,SSPG.L,SSP Group,1,2,above chikou
2026-09-01,RPI.L,Raspberry Pi Holdings,1,2,above chikou
2026-09-01,KNOS.L,Kainos,1,2,above chikou
2026-09-01,JDW.L,Wetherspoons,1,2,above chikou
2026-09-01,ONT.L,Oxford Nanopore Technologies,1,2,above chikou
2026-09-01,FSG.L,Foresight Group,0,2,above chikou
2026-09-01,RS1.L,RS Group,0,2,above chikou
2026-09-01,HWG.L,Harworth Group,0,2,above chikou
2026-09-01,GFTU.L,Grafton Group,0,2,above chikou
2026-09-01,SEQI.L,Sequoia Economic Infrastructure Income Fund,1,3,above chikou
2026-09-01,BPT.L,Bridgepoint Group,1,3,above chikou
2026-09-01,EZJ.L,EasyJet,1,3,above chikou
2026-09-01,ROR.L,Rotork,1,3,above chikou
2026-09-01,LRE.L,Lancashire Holdings,0,4,above chikou
2026-09-01,CVSG.L,CVS Group,1,4,above chikou
2026-09-01,HICL.L,HICL Infrastructure Company,1,5,above chikou
2026-09-01,HFD.L,Halfords,1,5,above chikou
2026-09-01,NAS.L,North Atlantic Smaller Companies Investment Trust,0,5,above chikou
2026-09-01,SCT.L,Softcat,1,5,above chikou
2026-09-01,DSCV.L,discoverIE,1,5,above chikou
2026-09-01,XPP.L,XP Power,1,6,above chikou
2026-09-01,SAIN.L,Scottish American Investment Company,1,6,above chikou
2026-09-01,WOSG.L,Watches of Switzerland,1,6,above chikou
2026-09-01,RSW.L,Renishaw,1,9,above chikou
2026-09-01,CWR.L,Ceres Power,1,9,above chikou
2026-09-01,ASHM.L,Ashmore Group,1,9,above chikou
2026-09-01,EMG.L,Man Group,1,9,above chikou
2026-09-01,OXIG.L,Oxford Instruments,1,9,above chikou
2026-09-01,INPP.L,International Public Partnerships,1,10,above chikou
2026-09-01,GCP.L,GCP Infrastructure Investments,0,10,above chikou
2026-09-01,BOY.L,Bodycote,1,10,above chikou
2026-09-01,HFEL.L,Henderson Far East Income,1,10,above chikou
2026-09-01,EWG.L,Eurowag,1,10,above chikou
2026-09-01,INCH.L,Inchcape,0,10,above chikou
2026-09-01,ZIG.L,Zigup,0,11,above chikou
2026-09-01,RAT.L,Rathbones,0,11,above chikou
2026-09-01,IPO.L,IP Group,1,11,above chikou
2026-09-01,SUPR.L,Supermarket Income REIT,1,12,above chikou
2026-09-01,BRWM.L,BlackRock World Mining Trust,1,13,above chikou
2026-09-01,RICA.L,Ruffer Investment Company,1,13,above chikou
2026-09-01,MRCH.L,Merchants Trust,1,14,above chikou
2026-09-01,N91.L,Ninety One,1,14,above chikou
2026-09-01,JMAT.L,Johnson Matthey,0,14,above chikou
2026-09-01,GNS.L,Genus,1,14,above chikou
2026-09-01,BHMG.L,BH Macro,1,14,above chikou
2026-09-01,WWH.L,Worldwide Healthcare Trust,1,14,above chikou
2026-09-01,JUP.L,Jupiter Fund Management,1,14,above chikou
2026-09-01,OXB.L,Oxford Biomedica,1,15,above chikou
2026-09-01,RTW.L,RTW Biotech Opportunities,1,15,above chikou
2026-09-01,AEP.L,AEP Plantations,1,15,above chikou
2026-09-01,CSN.L,Chesnara,1,15,above chikou
2026-09-01,FCSS.L,Fidelity China Special Situations,1,15,above chikou
2026-09-01,ITH.L,Ithaca Energy,1,15,above chikou
2026-09-01,OSB.L,OSB Group,0,16,above chikou
2026-09-01,GROW.L,Molten Ventures,1,16,above chikou
2026-09-01,MTRO.L,Metro Bank,1,16,above chikou
2026-09-01,HMSO.L,Hammerson,1,16,above chikou
2026-09-01,SAGA.L,Saga,1,16,above chikou
2026-09-01,SNR.L,Senior,1,16,above chikou
2026-09-01,VEIL.L,Vietnam Enterprise Investments,1,16,above chikou
2026-09-01,PHI.L,Pacific Horizon Investment Trust,1,16,above chikou
2026-09-01,HTG.L,Hunting,0,16,above chikou
2026-09-01,HTWS.L,Helios Towers,1,16,above chikou
2026-09-01,IAD.L,Invesco Asia Dragon Trust,1,17,above chikou
2026-09-01,EWI.L,Edinburgh Worldwide Investment Trust,1,17,above chikou
2026-09-01,BGFD.L,Baillie Gifford Japan Trust,1,17,above chikou
2026-09-01,3IN.L,3i Infrastructure,1,17,above chikou
2026-09-01,CGT.L,Capital Gearing Trust,1,17,above chikou
2026-09-01,GSCT.L,Global Smaller Companies Trust,1,17,above chikou
2026-09-01,HSL.L,Henderson Smaller Companies Investment Trust,0,17,above chikou
2026-09-01,JMGI.L,JPMorgan Emerging Markets Growth & Income,1,17,above chikou
2026-09-01,DRX.L,Drax Group,1,17,above chikou
2026-09-01,MUT.L,Murray Income Trust,1,17,above chikou
2026-09-01,SDP.L,Schroder AsiaPacific Fund,1,17,above chikou
2026-09-01,SOI.L,Schroder Oriental Income Fund,1,17,above chikou
2026-09-01,RCP.L,RIT Capital Partners,1,17,above chikou
2026-09-01,CMCX.L,CMC Markets,1,17,above chikou
2026-09-01,PINT.L,Pantheon Infrastructure,1,18,above chikou
2026-09-01,SRP.L,Serco,1,18,above chikou
2026-09-01,CORD.L,Cordiant Digital Infrastructure,1,19,above chikou
2026-09-01,SSIT.L,Seraphim Space Investment Trust,1,20,above chikou
2026-09-01,THRL.L,Target Healthcare REIT,1,20,above chikou
2026-09-01,POLN.L,Pollen Street Group,1,21,above chikou
2026-09-01,MNTN.L,Schiehallion Fund,1,21,above chikou
2026-09-01,PPH.L,PPHE Hotel Group,1,22,above chikou
2026-09-01,SHC.L,Shaftesbury Capital,0,23,above chikou
2026-09-01,CLDN.L,Caledonia Investments,1,23,above chikou
2026-09-01,RNK.L,Rank Group,1,23,above chikou
2026-09-01,PNL.L,Personal Assets Trust,1,23,above chikou
2026-09-01,IWG.L,International Workplace Group,1,23,above chikou
2026-09-01,MOON.L,Moonpig,1,24,above chikou
2026-09-01,WIX.L,Wickes,1,24,above chikou
2026-09-01,CURY.L,Currys,1,25,above chikou
2026-09-01,TFIF.L,Twentyfour Income Fund,1,25,above chikou
2026-09-01,SRE.L,Sirius Real Estate,0,25,above chikou
2026-09-01,USA.L,Baillie Gifford US Growth Trust,1,26,above chikou
2026-09-01,QLT.L,Quilter,1,26,above chikou
2026-09-01,AVON.L,Avon Technologies,1,27,above chikou
2026-09-01,HVPE.L,HarbourVest Global Private Equity,1,27,above chikou
2026-09-01,IHP.L,IntegraFin Holdings,0,27,above chikou
2026-09-01,JEMI.L,JPMorgan Emerging Markets Dividend Income,1,28,above chikou
2026-09-01,TEM.L,Templeton Emerging Markets Investment Trust,1,28,above chikou
2026-09-01,FAN.L,Volution Group,1,28,above chikou
2026-09-01,ATR.L,Schroder Asian Total Return Investment Company,1,28,above chikou
2026-09-01,MGNS.L,Morgan Sindall Group,1,28,above chikou
2026-09-01,FEML.L,Fidelity Emerging Markets,1,28,above chikou
2026-09-01,JCH.L,JPMorgan Claverhouse Investment Trust,1,28,above chikou
