Date,Symbol,Name,1M Chikou Direction,1M Chikou Count,1M Chikou State
2026-08-01,DXCM,DexCom,-1,-24,below chikou
2026-08-01,KHC,Kraft Heinz,-1,-23,below chikou
2026-08-01,REGN,Regeneron Pharmaceuticals,-1,-20,below chikou
2026-08-01,CMCSA,Comcast,-1,-17,below chikou
2026-08-01,MDLZ,Mondelez International,0,-14,below chikou
2026-08-01,ADBE,Adobe Inc.,-1,-13,below chikou
2026-08-01,ROP,Roper Technologies,-1,-11,below chikou
2026-08-01,CPRT,Copart,-1,-10,below chikou
2026-08-01,SNPS,Synopsys,-1,-10,below chikou
2026-08-01,TRI,Thomson Reuters,-1,-8,below chikou
2026-08-01,WDAY,"Workday, Inc.",-1,-8,below chikou
2026-08-01,PYPL,PayPal,0,-7,below chikou
2026-08-01,INTU,Intuit,-1,-7,below chikou
2026-08-01,PDD,PDD Holdings,-1,-7,below chikou
2026-08-01,GEHC,GE HealthCare,-1,-5,below chikou
2026-08-01,PEP,PepsiCo,-1,-4,below chikou
2026-08-01,MSTR,MicroStrategy,0,-3,below chikou
2026-08-01,ISRG,Intuitive Surgical,-1,-2,below chikou
2026-08-01,MCHP,Microchip Technology,-1,-2,below chikou
2026-08-01,QCOM,Qualcomm,-1,-2,below chikou
2026-08-01,NXPI,NXP Semiconductors,-1,-2,below chikou
2026-08-01,SNDK,Sandisk,0,0,neutral chikou
2026-08-01,NBIS,Nebius Group,0,0,neutral chikou
2026-08-01,SPCX,SpaceX,0,0,neutral chikou
2026-08-01,HONA,Honeywell Aerospace,0,0,neutral chikou
2026-08-01,CRWV,CoreWeave,0,0,neutral chikou
2026-08-01,PAYX,Paychex,1,1,above chikou
2026-08-01,ABNB,Airbnb,1,1,above chikou
2026-08-01,FANG,Diamondback Energy,1,2,above chikou
2026-08-01,MSFT,Microsoft,1,2,above chikou
2026-08-01,ADP,Automatic Data Processing,1,2,above chikou
2026-08-01,ADSK,Autodesk,1,2,above chikou
2026-08-01,ALAB,Astera Labs,1,4,above chikou
2026-08-01,ODFL,Old Dominion Freight Line,1,4,above chikou
2026-08-01,KDP,Keurig Dr Pepper,0,4,above chikou
2026-08-01,DDOG,Datadog,1,4,above chikou
2026-08-01,SBUX,Starbucks,1,7,above chikou
2026-08-01,ARM,Arm Holdings,1,10,above chikou
2026-08-01,INTC,Intel,1,11,above chikou
2026-08-01,WBD,Warner Bros. Discovery,1,12,above chikou
2026-08-01,TER,Teradyne,1,14,above chikou
