Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
3IN.L,3i Infrastructure,-1,-20,below chikou,1,70,above chikou,1,24,above chikou,1,17,above chikou,91
AAS.L,Aberdeen Asia Focus,1,1,above chikou,1,24,above chikou,1,74,above chikou,1,31,above chikou,130
AEP.L,AEP Plantations,1,8,above chikou,1,55,above chikou,1,87,above chikou,1,15,above chikou,165
AGT.L,AVI Global Trust,0,2,above chikou,0,-11,below chikou,1,3,above chikou,1,72,above chikou,66
AIE.L,Ashoka India Equity Investment Trust,0,-8,below chikou,-1,-12,below chikou,1,9,above chikou,-1,-7,below chikou,-18
AJB.L,AJ Bell,-1,-27,below chikou,-1,-12,below chikou,1,19,above chikou,1,29,above chikou,9
ALFA.L,Alfa Financial Software,-1,-36,below chikou,-1,-16,below chikou,0,-47,below chikou,-1,-6,below chikou,-105
AO.L,AO World,-1,-18,below chikou,-1,-18,below chikou,0,-28,below chikou,-1,-4,below chikou,-68
APN.L,Applied Nutrition,0,-6,below chikou,-1,-27,below chikou,1,58,above chikou,0,0,neutral chikou,25
ASHM.L,Ashmore Group,-1,-18,below chikou,-1,-11,below chikou,1,1,above chikou,1,9,above chikou,-19
ASL.L,Aberforth Smaller Companies Trust,1,63,above chikou,1,1,above chikou,1,24,above chikou,1,31,above chikou,119
ATG.L,Auction Technology Group,-1,-18,below chikou,0,-18,below chikou,1,26,above chikou,-1,-42,below chikou,-52
ATR.L,Schroder Asian Total Return Investment Company,0,3,above chikou,1,5,above chikou,1,62,above chikou,1,28,above chikou,98
ATT.L,Allianz Technology Trust,0,64,above chikou,1,4,above chikou,1,63,above chikou,1,34,above chikou,165
ATYM.L,Atalaya Mining,-1,-8,below chikou,1,6,above chikou,1,5,above chikou,1,29,above chikou,32
AVON.L,Avon Technologies,0,-2,below chikou,-1,-11,below chikou,1,1,above chikou,1,27,above chikou,15
BAG.L,A.G. Barr,-1,-24,below chikou,0,-38,below chikou,-1,-8,below chikou,0,33,above chikou,-37
BBY.L,Balfour Beatty,0,-18,below chikou,1,4,above chikou,1,74,above chikou,1,68,above chikou,128
BCG.L,Baltic Classifieds,-1,-26,below chikou,-1,-24,below chikou,-1,-5,below chikou,-1,-8,below chikou,-63
BGFD.L,Baillie Gifford Japan Trust,0,8,above chikou,1,42,above chikou,1,21,above chikou,1,17,above chikou,88
