symbol,name
3IN.L,3i Infrastructure
FOUR.L,4imprint
888.L,888 Holdings
ASL.L,Aberforth Smaller Companies Trust
ABDN.L,abrdn
APEO.L,abrdn Private Equity Opportunities Trust
ATST.L,Alliance Trust
ATT.L,Allianz Technology Trust
APAX.L,Apax Global Alpha
ASCL.L,Ascential
ASHM.L,Ashmore Group
ASC.L,ASOS
AGR.L,Assura
AML.L,Aston Martin Lagonda
ATG.L,Auction Technology Group
AGT.L,AVI Global Trust
BAB.L,Babcock International
BGFD.L,Baillie Gifford Japan Trust
BCPT.L,Balanced Commercial Property Trust
BBY.L,Balfour Beatty
BCG.L,Baltic Classifieds
BNKR.L,Bankers Investment Trust
BGEO.L,Bank of Georgia
BBGI.L,BBGI
BEZ.L,Beazley Group
AJB.L,AJ Bell
BBH.L,Bellevue Healthcare Trust
BWY.L,Bellway
BHMG.L,BH Macro
BIFF.L,Biffa
BYG.L,Big Yellow Group
BRSC.L,BlackRock Smaller Companies Trust
THRG.L,BlackRock Throgmorton Trust
BRWM.L,BlackRock World Mining Trust
BSIF.L,Bluefield Solar Income Fund
BOY.L,Bodycote
BPT.L,Bridgepoint Group
BVIC.L,Britvic
BYIT.L,Bytes Technology Group
CCR.L,C&C Group
CLDN.L,Caledonia Investments
CAPC.L,Capital & Counties Properties
CGT.L,Capital Gearing Trust
CNE.L,Capricorn Energy
CCL.L,Carnival Corporation & plc
CEY.L,Centamin
CHG.L,Chemring Group
CTY.L,City of London Investment Trust
CKN.L,Clarkson
CBG.L,Close Brothers Group
CLI.L,CLS Holdings
CMCX.L,CMC Markets
COA.L,Coats Group
CCC.L,Computacenter
GLO.L,ContourGlobal
CSP.L,Countryside Partnerships
CWK.L,Cranswick
CRST.L,Crest Nicholson
CURY.L,Currys
DARK.L,Darktrace
DLN.L,Derwent London
DPLM.L,Diploma
DLG.L,Direct Line
DSCV.L,discoverIE
DEC.L,Diversified Energy
DOM.L,Domino's Pizza
DRX.L,Drax Group
DOCS.L,Dr. Martens
DNLM.L,Dunelm Group
EZJ.L,EasyJet
EDIN.L,Edinburgh Investment Trust
EWI.L,Edinburgh Worldwide Investment Trust
ELM.L,Elementis
ENOG.L,Energean
ESNT.L,Essentra
ERM.L,Euromoney Institutional Investor
EOT.L,European Opportunities Trust
FDM.L,FDM Group
FXPO.L,Ferrexpo
FCSS.L,Fidelity China Special Situations
FEML.L,Fidelity Emerging Markets
FEV.L,Fidelity European Trust
FSV.L,Fidelity Special Values
FGT.L,Finsbury Growth & Income Trust
FGP.L,FirstGroup
FSFL.L,Foresight Solar Fund
