symbol,name
BTC/USD,BTCUSD
LTC/USD,LTCUSD
ETH/USD,ETHUSD
XRP/USD,XRPUSD
SOL/USD,SOLUSD
DOGE/USD,DOGEUSD
TON/USD,TONUSD
ADA/USD,ADAUSD
TRX/USD,TRXUSD
AVAX/USD,AVAXUSD
SHIB/USD,SHIB/USD
LINK/USD,LINK/USD
BCHN/USD,BCHN/USD
DAI/USD,DAIUSD
LEO/USD,LEOUSD
LTC/USD,LTCUSD
NEAR/USD,NEAR/USD
MATIC/USD,MATIC/USD
UNI/USD,UNIUSD
PEPE/USD,PEPE/USD
ETC/USD,Ethereum Classic
XMR/USD,Monero 
XLM/USD,Stellar 
APT/USD,Aptos
SHIB/USD,SHIBUSD
DOT/USD,DOTUSD
KAS/USD,KASUSD
ICP/USD,ICPUSD
FET/USD,FETUSD
STX/USD,STXUSD
