symbol,name
SPX500_USD,US SPX 500
NAS100_USD,US Nas 100
US30_USD,US Wall St 30
DE30_EUR,Germany 30
UK100_GBP,UK 100
EUR_USD,EUR/USD
GBP_USD,GBP/USD
USD_JPY,USD/JPY
XAG_USD,Silver
USB30Y_USD,US T-Bond
XAU_USD,Gold
WTICO_USD,West Texas Oil
EUR_GBP,EUR/GBP
NZD_USD,NZD/USD
AUD_USD,AUD/USD
USD_CHF,USD/CHF
GBP_JPY,GBP/JPY
EUR_JPY,EUR/JPY
NZD_JPY,NZD/JPY
CAD_JPY,CAD/JPY
AUD_JPY,AUD/JPY
CHF_JPY,CHF/JPY
GBP_AUD,GBP/AUD
EUR_AUD,EUR/AUD
EUR_NZD,EUR/NZD
GBP_NZD,GBP/NZD
AUD_NZD,AUD/NZD
CAD_CHF,CAD/CHF
NZD_CAD,NZD/CAD
AUD_CAD,AUD/CAD
EUR_CAD,EUR/CAD
GBP_CAD,GBP/CAD
