symbol,name
III.L,3i
ADM.L,Admiral Group
AAF.L,Airtel Africa
ALW.L,Alliance Witan
AAL.L,Anglo American plc
ANTO.L,Antofagasta plc
AHT.L,Ashtead Group
ABF.L,Associated British Foods
AZN.L,AstraZeneca
AUTO.L,Auto Trader Group
AV.L,Aviva
BAB.L,Babcock International
BA.L,BAE Systems
BARC.L,Barclays
BTRW.L,Barratt Redrow
BEZ.L,Beazley
BKG.L,Berkeley Group Holdings
BP.L,BP
BATS.L,British American Tobacco
BT-A.L,BT Group
BNZL.L,Bunzl
CNA.L,Centrica
CCEP.L,Coca-Cola Europacific Partners
CCH.L,Coca-Cola HBC
CPG.L,Compass Group
CTEC.L,Convatec
CRDA.L,Croda International
DCC.L,DCC plc
DGE.L,Diageo
DPLM.L,Diploma
EDV.L,Endeavour Mining
ENT.L,Entain
EZJ.L,EasyJet
EXPN.L,Experian
FCIT.L,F & C Investment Trust
FRES.L,Fresnillo plc
GAW.L,Games Workshop
GLEN.L,Glencore
GSK.L,GSK plc
HLN.L,Haleon
HLMA.L,Halma plc
HIK.L,Hikma Pharmaceuticals
HSX.L,Hiscox
HWDN.L,Howdens Joinery
HSBA.L,HSBC
IHG.L,IHG Hotels & Resorts
IMI.L,IMI
IMB.L,Imperial Brands
INF.L,Informa
ICG.L,Intermediate Capital Group
IAG.L,International Airlines Group
ITRK.L,Intertek
JD.L,JD Sports
KGF.L,Kingfisher plc
LAND.L,Land Securities
LGEN.L,Legal & General
LLOY.L,Lloyds Banking Group
LMP.L,LondonMetric Property
LSEG.L,London Stock Exchange Group
MNG.L,M&G
MKS.L,Marks & Spencer
MRO.L,Melrose Industries
MNDI.L,Mondi
NG.L,National Grid plc
NWG.L,NatWest Group
NXT.L,Next plc
PSON.L,Pearson plc
PSH.L,Pershing Square Holdings
PSN.L,Persimmon
PHNX.L,Phoenix Group
PCT.L,Polar Capital Technology Trust
PRU.L,Prudential plc
RKT.L,Reckitt
REL.L,RELX
RTO.L,Rentokil Initial
RMV.L,Rightmove
RIO.L,Rio Tinto
RR.L,Rolls-Royce Holdings
SGE.L,Sage Group
SBRY.L,Sainsbury's
SDR.L,Schroders
SMT.L,Scottish Mortgage Investment Trust
SGRO.L,Segro
SVT.L,Severn Trent
SHEL.L,Shell plc
SMIN.L,Smiths Group
SN.L,Smith & Nephew
SPX.L,Spirax Group
SSE.L,SSE plc
STAN.L,Standard Chartered
STJ.L,St. James's Place
TW.L,Taylor Wimpey
TSCO.L,Tesco
ULVR.L,Unilever
UU.L,United Utilities
UTG.L,Unite Group
VOD.L,Vodafone Group
WEIR.L,Weir Group
WTB.L,Whitbread
WPP.L,WPP
