Date,Symbol,Name,Direction,Count
2022-11-11,DIS,Disney,-1.0,3.0
2022-11-11,PG,Procter & Gamble,1.0,5.0
2022-11-11,CRM,Salesforce,-1.0,6.0
2022-11-11,NKE,Nike,1.0,6.0
2022-11-11,MSFT,Microsoft,-1.0,7.0
2022-11-11,AXP,American Express,1.0,11.0
2022-11-11,AAPL,Apple,1.0,11.0
2022-11-11,KO,Coca-Cola,1.0,11.0
2022-11-11,INTC,Intel,1.0,11.0
2022-11-11,HD,Home Depot,1.0,12.0
2022-11-11,BA,Boeing,1.0,13.0
2022-11-11,MCD,McDonald's,1.0,13.0
2022-11-11,V,Visa,1.0,14.0
2022-11-11,DOW,Dow,1.0,14.0
2022-11-11,MMM,3M,1.0,15.0
2022-11-11,WMT,Walmart,1.0,15.0
2022-11-11,GS,Goldman Sachs,1.0,15.0
2022-11-11,CSCO,Cisco,1.0,15.0
2022-11-11,WBA,Walgreens Boots Alliance,1.0,15.0
2022-11-11,JNJ,Johnson & Johnson,1.0,16.0
2022-11-11,JPM,JPMorgan Chase,1.0,16.0
2022-11-11,HON,Honeywell,1.0,16.0
2022-11-11,CAT,Caterpillar,1.0,16.0
2022-11-11,UNH,UnitedHealth,1.0,16.0
2022-11-11,IBM,IBM,1.0,16.0
2022-11-11,CVX,Chevron,1.0,22.0
2022-11-11,TRV,Travelers,1.0,22.0
2022-11-11,AMGN,Amgen,1.0,24.0
2022-11-11,MRK,Merck,1.0,25.0
2022-11-11,VZ,Verizon,-1.0,81.0
