Date,Symbol,Name,Direction,Count
2022-10-31,HTWS.L,Helios Towers,1.0,1.0
2022-10-31,MGNS.L,Morgan Sindall Group,1.0,1.0
2022-10-31,JAM.L,JPMorgan American Investment Trust,1.0,1.0
2022-10-31,EZJ.L,EasyJet,1.0,1.0
2022-10-31,RCP.L,RIT Capital Partners,1.0,2.0
2022-10-31,SPT.L,Spirent,1.0,2.0
2022-10-31,PFC.L,Petrofac,1.0,2.0
2022-10-31,N91.L,Ninety One,1.0,2.0
2022-10-31,SSON.L,Smithson Investment Trust,1.0,3.0
2022-10-31,TATE.L,Tate & Lyle,1.0,3.0
2022-10-31,BYG.L,Big Yellow Group,1.0,3.0
2022-10-31,DPLM.L,Diploma,1.0,3.0
2022-10-31,SRP.L,Serco,1.0,3.0
2022-10-31,LIO.L,Liontrust Asset Management,1.0,3.0
2022-10-31,SAFE.L,Safestore,1.0,3.0
2022-10-31,IHP.L,IntegraFin Holdings,1.0,3.0
2022-10-31,CWK.L,Cranswick,1.0,3.0
2022-10-31,RHIM.L,RHI Magnesita,1.0,3.0
2022-10-31,BRSC.L,BlackRock Smaller Companies Trust,1.0,3.0
2022-10-31,FSV.L,Fidelity Special Values,1.0,3.0
2022-10-31,JUP.L,Jupiter Fund Management,1.0,3.0
2022-10-31,ENOG.L,Energean,1.0,3.0
2022-10-31,WEIR.L,Weir Group,1.0,3.0
2022-10-31,OXIG.L,Oxford Instruments,1.0,3.0
2022-10-31,INCH.L,Inchcape,1.0,3.0
2022-10-31,VSVS.L,Vesuvius,1.0,3.0
2022-10-31,EDIN.L,Edinburgh Investment Trust,1.0,3.0
2022-10-31,HILS.L,Hill & Smith,1.0,4.0
2022-10-31,WG.L,Wood Group,1.0,4.0
2022-10-31,CURY.L,Currys,1.0,4.0
2022-10-31,MRC.L,Mercantile Investment Trust,1.0,4.0
2022-10-31,APEO.L,abrdn Private Equity Opportunities Trust,1.0,4.0
2022-10-31,GPE.L,Great Portland Estates,1.0,4.0
2022-10-31,IGG.L,IG Group Holdings,1.0,4.0
2022-10-31,ICGT.L,ICG Enterprise Trust,1.0,4.0
2022-10-31,COA.L,Coats Group,1.0,4.0
2022-10-31,BGFD.L,Baillie Gifford Japan Trust,1.0,4.0
2022-10-31,BEZ.L,Beazley Group,1.0,4.0
2022-10-31,LWDB.L,Law Debenture,1.0,4.0
2022-10-31,TPK.L,Travis Perkins,1.0,4.0
2022-10-31,REDD.L,Redde Northgate,1.0,4.0
2022-10-31,BRWM.L,BlackRock World Mining Trust,1.0,4.0
2022-10-31,JMAT.L,Johnson Matthey,1.0,4.0
2022-10-31,THRG.L,BlackRock Throgmorton Trust,1.0,5.0
2022-10-31,JEDT.L,JPMorgan European Discovery,1.0,5.0
2022-10-31,JGGI.L,JPMorgan Global Growth & Income,1.0,5.0
2022-10-31,HRI.L,Herald Investment Trust,1.0,5.0
2022-10-31,HGT.L,Hg Capital Trust,1.0,5.0
2022-10-31,RAT.L,Rathbones,1.0,5.0
2022-10-31,CKN.L,Clarkson,1.0,5.0
2022-10-31,GRG.L,Greggs,1.0,5.0
2022-10-31,BGEO.L,Bank of Georgia,1.0,5.0
2022-10-31,CMCX.L,CMC Markets,1.0,5.0
2022-10-31,DSCV.L,discoverIE,1.0,5.0
2022-10-31,ERM.L,Euromoney Institutional Investor,1.0,6.0
2022-10-31,TBCG.L,TBC Bank,1.0,6.0
2022-10-31,CEY.L,Centamin,1.0,6.0
2022-10-31,ROR.L,Rotork,1.0,6.0
2022-10-31,CHG.L,Chemring Group,-1.0,7.0
2022-10-31,MCRO.L,Micro Focus International,1.0,7.0
2022-10-31,ABDN.L,abrdn,1.0,7.0
2022-10-31,INVP.L,Investec,1.0,7.0
2022-10-31,MONY.L,Moneysupermarket.com Group,-1.0,9.0
2022-10-31,NCC.L,NCC Group,-1.0,9.0
2022-10-31,SXS.L,Spectris,1.0,9.0
2022-10-31,PAGE.L,PageGroup,1.0,10.0
2022-10-31,NBPE.L,NB Private Equity Partners,1.0,11.0
2022-10-31,ITV.L,ITV,1.0,11.0
2022-10-31,MGAM.L,Morgan Advanced Materials,1.0,12.0
2022-10-31,INDV.L,Indivior,1.0,12.0
2022-10-31,QQ.L,QinetiQ,1.0,12.0
2022-10-31,LRE.L,Lancashire Holdings,-1.0,13.0
2022-10-31,BYIT.L,Bytes Technology Group,-1.0,14.0
2022-10-31,GNS.L,Genus,-1.0,14.0
2022-10-31,BCG.L,Baltic Classifieds,1.0,14.0
2022-10-31,IMI.L,IMI,1.0,15.0
2022-10-31,PTEC.L,Playtech,1.0,17.0
2022-10-31,PRTC.L,PureTech Health,1.0,18.0
2022-10-31,PLUS.L,Plus500,1.0,18.0
2022-10-31,AJB.L,AJ Bell,1.0,18.0
2022-10-31,SEQI.L,Sequoia Economic Infrastructure Income Fund,1.0,19.0
2022-10-31,BHMG.L,BH Macro,-1.0,19.0
2022-10-31,RICA.L,Ruffer Investment Company,1.0,20.0
2022-10-31,ESNT.L,Essentra,1.0,20.0
2022-10-31,DNLM.L,Dunelm Group,1.0,20.0
2022-10-31,JII.L,JPMorgan Indian Investment Trust,-1.0,21.0
2022-10-31,TEP.L,Telecom Plus,1.0,21.0
2022-10-31,CCL.L,Carnival Corporation & plc,-1.0,22.0
2022-10-31,NEX.L,National Express Group,-1.0,23.0
2022-10-31,BBY.L,Balfour Beatty,-1.0,23.0
2022-10-31,KNOS.L,Kainos,-1.0,24.0
2022-10-31,HSX.L,Hiscox,-1.0,24.0
2022-10-31,TFIF.L,Twentyfour Income Fund,-1.0,24.0
