Date,Symbol,Name,Direction,Count
2022-11-14,LBS=F,Random Length Lumber Futures,-1.0,1.0
2022-11-15,ZM=F,Soybean Meal Futures,1.0,1.0
2022-11-15,ZR=F,Rough Rice Futures,-1.0,1.0
2022-11-15,NQ=F,Nasdaq 100 Futures,1.0,2.0
2022-11-15,HO=F,Heating Oil Futures,-1.0,2.0
2022-11-15,GC=F,Gold Futures,1.0,3.0
2022-11-15,SI=F,Silver Futures,1.0,5.0
2022-11-15,SIL=F,Micro Silver Futures,1.0,5.0
2022-11-15,ZC=F,Corn Futures,-1.0,5.0
2022-11-15,NG=F,Natural Gas Futures,1.0,6.0
2022-11-15,MGC=F,Micro Gold Futures,1.0,8.0
2022-11-14,GF=F,Feeder Cattle Futures,1.0,9.0
2022-11-15,ZS=F,Soybean Futures,1.0,9.0
2022-11-14,CC=F,Cocoa  Futures,1.0,10.0
2022-11-15,KE=F,KC HRW Wheat Futures,-1.0,12.0
2022-11-15,ES=F,E-Mini S&P 500 Futures,1.0,12.0
2022-11-15,RTY=F,E-mini Russell 2000 Futures,1.0,14.0
2022-11-15,HG=F,Copper Futures,1.0,14.0
2022-11-15,YM=F,Mini Dow Jones Futures,1.0,16.0
2022-11-15,ZL=F,Soybean Oil Futures,1.0,18.0
2022-11-14,ZO=F,Oat Futures,-1.0,20.0
2022-11-15,PA=F,Palladium Futures,-1.0,22.0
2022-11-15,BZ=F,Brent Crude Oil Futures,1.0,26.0
2022-11-14,SB=F,Sugar Futures,1.0,26.0
2022-11-15,CL=F,Crude Oil Futures,1.0,27.0
2022-11-15,RB=F,RBOB Gasoline Futures,1.0,27.0
2022-11-15,PL=F,Platinum Futures,1.0,30.0
2022-11-14,KC=F,Coffee  Futures,-1.0,31.0
2022-11-14,CT=F,Cotton  Futures,-1.0,42.0
2022-11-15,ZN=F,10-Year T-Note Futures,-1.0,58.0
2022-11-15,ZB=F,U.S. Treasury Bond Futures,-1.0,59.0
2022-11-15,ZF=F,Five-Year US Treasury Note Futures,-1.0,60.0
2022-11-14,OJ=F,Orange Juice  Futures,1.0,60.0
2022-11-14,HE=F,Lean Hogs Futures,-1.0,65.0
2022-11-15,ZT=F,2-Year T-Note Futures,-1.0,69.0
2022-11-14,LE=F,Live Cattle Futures,1.0,73.0
