Date,Symbol,Name,Direction,Count
2022-11-11,BA,Boeing,1.0,2.0
2022-11-11,CAT,Caterpillar,1.0,2.0
2022-11-11,GS,Goldman Sachs,1.0,2.0
2022-11-11,JPM,JPMorgan Chase,1.0,2.0
2022-11-11,UNH,UnitedHealth,1.0,3.0
2022-11-11,HON,Honeywell,1.0,3.0
2022-11-11,AMGN,Amgen,1.0,4.0
2022-11-11,TRV,Travelers,1.0,4.0
2022-11-11,IBM,IBM,-1.0,9.0
2022-11-11,KO,Coca-Cola,-1.0,9.0
2022-11-11,JNJ,Johnson & Johnson,-1.0,12.0
2022-11-11,MCD,McDonald's,1.0,17.0
2022-11-11,VZ,Verizon,-1.0,18.0
2022-11-11,DOW,Dow,-1.0,22.0
2022-11-11,V,Visa,-1.0,23.0
2022-11-11,PG,Procter & Gamble,-1.0,27.0
2022-11-11,WMT,Walmart,-1.0,27.0
2022-11-11,WBA,Walgreens Boots Alliance,-1.0,27.0
2022-11-11,CVX,Chevron,1.0,27.0
2022-11-11,HD,Home Depot,-1.0,28.0
2022-11-11,MRK,Merck,1.0,28.0
2022-11-11,MSFT,Microsoft,-1.0,28.0
2022-11-11,NKE,Nike,-1.0,28.0
2022-11-11,DIS,Disney,-1.0,28.0
2022-11-11,CRM,Salesforce,-1.0,28.0
2022-11-11,CSCO,Cisco,-1.0,28.0
2022-11-11,AAPL,Apple,-1.0,28.0
2022-11-11,AXP,American Express,-1.0,28.0
2022-11-11,INTC,Intel,-1.0,28.0
2022-11-11,MMM,3M,-1.0,28.0
