Date,Symbol,Name,Direction,Count
2022-11-14,DLTR,Dollar Tree,1.0,1.0
2022-11-14,COST,Costco,1.0,1.0
2022-11-14,ODFL,Old Dominion Freight Line,1.0,1.0
2022-11-14,IDXX,Idexx Laboratories,1.0,2.0
2022-11-14,INTU,Intuit,1.0,2.0
2022-11-14,ROST,Ross Stores,1.0,2.0
2022-11-14,LULU,Lululemon,1.0,2.0
2022-11-14,MCHP,Microchip Technology,1.0,2.0
2022-11-14,HON,Honeywell,1.0,3.0
2022-11-14,ISRG,Intuitive Surgical,1.0,3.0
2022-11-14,AMGN,Amgen,1.0,4.0
2022-11-14,PCAR,Paccar,1.0,4.0
2022-11-14,DXCM,DexCom,1.0,4.0
2022-11-14,NFLX,Netflix,1.0,4.0
2022-11-14,ADI,Analog Devices,-1.0,6.0
2022-11-14,PAYX,Paychex,-1.0,7.0
2022-11-14,XEL,Xcel Energy,-1.0,7.0
2022-11-14,EXC,Exelon,-1.0,8.0
2022-11-14,BIIB,Biogen,1.0,8.0
2022-11-14,MRNA,Moderna,-1.0,8.0
2022-11-14,AEP,American Electric Power,-1.0,8.0
2022-11-14,NTES,NetEase,-1.0,9.0
2022-11-14,JD,JD.com,-1.0,9.0
2022-11-14,AZN,AstraZeneca,-1.0,10.0
2022-11-14,SBUX,Starbucks,1.0,10.0
2022-11-14,KHC,Kraft Heinz,-1.0,10.0
2022-11-14,REGN,Regeneron,1.0,11.0
2022-11-14,PDD,Pinduoduo,1.0,12.0
2022-11-14,CTAS,Cintas,1.0,14.0
2022-11-14,CPRT,Copart,1.0,14.0
2022-11-14,ORLY,O'Reilly Automotive,1.0,14.0
2022-11-14,GILD,Gilead Sciences,1.0,14.0
2022-11-14,ADSK,Autodesk,1.0,14.0
2022-11-14,FISV,Fiserv,1.0,15.0
2022-11-14,PEP,PepsiCo,1.0,16.0
2022-11-14,KDP,Keurig Dr Pepper,1.0,16.0
2022-11-14,ADP,ADP,1.0,17.0
2022-11-14,SNPS,Synopsys,1.0,18.0
2022-11-14,ATVI,Activision Blizzard,-1.0,18.0
2022-11-14,CEG,Constellation Energy,1.0,18.0
2022-11-14,CDNS,Cadence Design Systems,1.0,18.0
2022-11-14,MNST,Monster Beverage,1.0,19.0
2022-11-14,FTNT,Fortinet,-1.0,21.0
