Date,Symbol,Name,Kicker
2021-11-29,IBM,IBM,1
2021-12-06,KO,Coca-Cola,1
2022-03-28,DIS,Disney,-1
2022-04-25,MCD,McDonald's,-1
2022-04-25,WMT,Walmart,-1
2022-05-16,CRM,Salesforce,-1
2022-06-20,MRK,Merck,1
2022-07-25,TRV,Travelers,1
2022-08-08,BA,Boeing,1
2022-08-22,UNH,UnitedHealth,-1
2022-08-22,HON,Honeywell,-1
2022-09-05,JPM,JPMorgan Chase,1
2022-09-26,JNJ,Johnson & Johnson,-1
2022-10-03,AMGN,Amgen,1
2022-10-10,DOW,Dow,1
2022-10-17,MSFT,Microsoft,1
2022-10-17,CVX,Chevron,1
2022-10-17,INTC,Intel,1
2022-10-17,V,Visa,1
2022-10-17,GS,Goldman Sachs,1
2022-10-17,AAPL,Apple,1
2022-10-17,CSCO,Cisco,1
2022-10-17,CAT,Caterpillar,1
2022-10-24,AXP,American Express,1
2022-11-07,PG,Procter & Gamble,1
