Date,High,Low,Open,Close,Volume,Adj Close,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2021-11-01,1619.5,1527.0,1559.0,1602.0,14165617.0,1588.88037109375,,,,,1650.0
2021-11-08,1610.0,1542.0,1597.5,1543.5,13743024.0,1530.859375,,,,,1808.0
2021-11-15,1587.0,1479.5,1535.0,1479.5,19191594.0,1467.383544921875,,,,,1708.0
2021-11-22,1586.5,1435.0,1490.5,1453.5,20283293.0,1441.596435546875,,,,,1799.5
2021-11-29,1545.5,1450.5999755859375,1484.0,1511.5,26782539.0,1499.1214599609375,,,,,1769.0
2021-12-06,1591.0,1509.0,1528.5,1524.5,16482239.0,1512.0150146484375,,,,,1744.0
2021-12-13,1560.5,1496.0,1529.5,1556.5,24298210.0,1543.7529296875,,,,,1677.5
2021-12-20,1670.0,1479.5,1500.0,1646.5,18367265.0,1633.015869140625,,,,,1697.0
2021-12-27,1682.0,1629.5,1646.5,1651.0,3750301.0,1637.47900390625,1558.5,,,,1728.0
2022-01-03,1727.0,1651.0,1651.0,1695.5,10584758.0,1681.6146240234375,1581.0,,,,1760.0
2022-01-10,1728.0,1674.0,1707.0,1718.5,14196358.0,1704.42626953125,1581.5,,,,1845.0
2022-01-17,1765.0,1659.5,1726.5,1680.5,17162610.0,1666.7374267578125,1600.0,,,,1854.0
2022-01-24,1693.5,1595.0,1673.0,1652.0,20243941.0,1652.0,1607.7999877929688,,,,1914.5
2022-01-31,1797.0,1640.5,1671.0,1734.0,21349520.0,1734.0,1638.25,,,,1907.5
2022-02-07,1820.5,1715.199951171875,1738.5,1806.5,16287698.0,1806.5,1650.0,,,,1935.0
2022-02-14,1823.0,1739.0,1784.0,1748.0,13753328.0,1748.0,1651.25,,,,1950.5
2022-02-21,1767.0,1629.5,1753.0,1714.0,16332767.0,1714.0,1709.0,,,,1876.0
2022-02-28,1720.0,1526.5,1680.5,1559.5,17768525.0,1559.5,1674.75,,,,1843.0
2022-03-07,1695.0,1494.0,1525.0,1654.0,16699726.0,1654.0,1658.5,,,,1900.0
2022-03-14,1711.0,1628.0,1669.0,1706.0,15104525.0,1706.0,1658.5,,,,1875.0
2022-03-21,1717.5,1649.0,1699.0,1654.0,18491501.0,1654.0,1658.5,,,,1803.5
2022-03-27,1711.0,1584.0,1662.0,1596.0,33439107.0,1596.0,1658.5,,,,1805.0
2022-04-03,1682.0,1579.5,1604.0,1649.5,21574905.0,1649.5,1658.5,,,,1806.5
2022-04-10,1677.5,1618.5,1640.5,1677.0,10741373.0,1677.0,1658.5,,,,1806.0
2022-04-17,1768.0,1657.5,1677.0,1702.5,14981150.0,1702.5,1631.0,,,,1821.5
2022-04-24,1724.0,1670.0,1671.5,1702.0,21143942.0,1702.0,1631.0,1629.0,,,1846.0
2022-05-01,1739.5,1640.0,1682.5,1650.0,11823957.0,1650.0,1631.0,1629.0,,,1836.5
2022-05-08,1808.0,1568.7509765625,1645.5,1808.0,34015931.0,1808.0,1688.37548828125,1629.0,,,
2022-05-15,1841.97998046875,1673.5,1797.5,1708.0,22983042.0,1708.0,1705.365478515625,1638.489990234375,,,
2022-05-22,1822.0,1703.0,1736.0,1799.5,26948956.0,1799.5,1705.365478515625,1646.2899780273438,,,
2022-05-29,1826.0,1766.5,1804.0,1769.0,20143699.0,1769.0,1705.365478515625,1660.739990234375,,,
2022-06-05,1813.5,1730.0,1788.5,1744.0,25005654.0,1744.0,1705.365478515625,1660.739990234375,,,
2022-06-12,1730.0,16.34000015258789,1726.0,1677.5,38247445.0,1677.5,929.159990310669,929.159990310669,,,
2022-06-19,1716.0,1630.5,1682.5,1697.0,19704257.0,1697.0,929.159990310669,929.159990310669,,,
2022-06-26,1743.5,1648.5,1693.0,1728.0,17933395.0,1728.0,929.159990310669,929.159990310669,,,
2022-07-03,1774.0,1679.5,1744.5,1760.0,18904893.0,1760.0,929.159990310669,929.159990310669,,,
2022-07-10,1850.5,1739.5,1741.5,1845.0,24338280.0,1845.0,933.420000076294,933.420000076294,,,
2022-07-17,1869.0,1812.0,1857.0,1854.0,20891989.0,1854.0,942.670000076294,942.670000076294,,,
2022-07-24,1965.5,1832.0,1852.0,1914.5,27687646.0,1914.5,990.920000076294,990.920000076294,,,
2022-07-31,1957.5,1904.0,1914.5,1907.5,16817006.0,1907.5,990.920000076294,990.920000076294,,,
2022-08-07,1958.5,1898.5,1910.5,1935.0,11762088.0,1935.0,990.920000076294,990.920000076294,,,
2022-08-14,1970.5,1920.5,1948.5,1950.5,11328241.0,1950.5,1800.5,993.420000076294,,,
2022-08-21,1962.5,1872.5,1939.5,1876.0,19462880.0,1876.0,1809.5,993.420000076294,,,
2022-08-28,1891.5,1818.0,1876.0,1843.0,14695213.0,1843.0,1825.0,993.420000076294,,,
2022-09-04,1913.0,1809.5,1826.0,1900.0,16352243.0,1900.0,1855.0,993.420000076294,,,
2022-09-11,1958.0,1870.5,1905.0,1875.0,23459345.0,1875.0,1890.0,993.420000076294,,,
2022-09-18,1895.0,1777.0,1875.0,1803.5,12740436.0,1803.5,1873.75,993.420000076294,,,
2022-09-25,1872.5,1784.0,1810.0,1805.0,24211476.0,1805.0,1873.75,993.420000076294,,,
2022-10-02,1848.5,1760.0,1785.5,1806.5,22709668.0,1806.5,1865.25,993.420000076294,,,
2022-10-09,1837.5,1765.636962890625,1792.0,1806.0,16065612.0,1806.0,1865.25,993.420000076294,,,
2022-10-16,1846.5,1782.0,1811.0,1821.5,15271643.0,1821.5,1861.25,993.420000076294,,,
2022-10-23,1871.0,1814.0,1835.0,1846.0,18453696.0,1846.0,1859.0,993.420000076294,1630.0,,
2022-10-31,1858.0,1835.5,1849.0,1836.5,3151978.0,1836.5,1859.0,993.420000076294,1630.0,,
