Date,High,Low,Open,Close,Volume,Adj Close
2021-11-01,2587.5,2508.0,2556.5,2544.0,20534993.0,2495.028076171875
2021-11-08,2626.06005859375,2525.0,2543.5,2613.0,17464595.0,2562.69970703125
2021-11-15,2625.0,2541.0,2593.0,2544.5,15433806.0,2495.5185546875
2021-11-22,2613.0,2535.5,2550.5,2541.0,11821016.0,2492.085693359375
2021-11-29,2583.5,2514.0,2558.5,2583.5,22147475.0,2533.767578125
2021-12-06,2762.0,2587.0,2600.0,2759.0,25780562.0,2705.889404296875
2021-12-13,2775.0,2670.0,2762.0,2762.5,32220638.0,2709.322021484375
2021-12-20,2812.7900390625,2717.5,2750.0,2750.0,15613934.0,2697.0625
2021-12-27,2756.0,2700.5,2750.0,2733.5,4240759.0,2733.5
2022-01-03,2842.5,2733.5,2733.5,2820.0,16451338.0,2820.0
2022-01-10,3050.0,2800.5,2825.0,3033.0,37031663.0,3033.0
2022-01-17,3166.0,3043.0,3060.5,3138.0,26581391.0,3138.0
2022-01-24,3242.0,3109.5,3124.0,3164.5,34149313.0,3164.5
2022-01-31,3246.5,3123.0,3184.0,3211.0,23135973.0,3211.0
2022-02-07,3373.0,3158.199951171875,3217.5,3368.5,22106041.0,3368.5
2022-02-14,3456.5,3370.0,3380.0,3409.0,27894397.0,3409.0
2022-02-21,3421.0,3222.5,3413.0,3345.0,26013255.0,3345.0
2022-02-28,3300.0,3024.5,3300.0,3079.0,30350322.0,3079.0
2022-03-07,3152.5,2915.0,3027.0,3068.0,31478572.0,3068.0
2022-03-14,3190.0,2973.5,3069.5,3170.0,29769339.0,3170.0
2022-03-21,3305.0,3163.742919921875,3166.5,3300.0,23936480.0,3300.0
2022-03-27,3341.0,3194.5,3269.0,3226.0,25657715.0,3226.0
2022-04-03,3305.0,3133.5,3239.5,3291.0,23146893.0,3291.0
2022-04-10,3302.5,3222.5,3297.0,3262.0,14165866.0,3262.0
2022-04-17,3398.0,3252.0,3262.0,3339.5,20419291.0,3339.5
2022-04-24,3363.5,3214.5,3319.5,3352.0,20846128.0,3352.0
2022-05-01,3375.0,3284.0,3338.0,3300.0,22473361.0,3300.0
2022-05-08,3434.5,3278.5,3320.5,3429.0,19498613.0,3429.0
2022-05-15,3523.0,3395.695068359375,3445.5,3430.5,21157842.0,3430.5
2022-05-22,3601.0,3422.5048828125,3439.5,3550.5,16341782.0,3550.5
2022-05-29,3578.7900390625,3444.5,3543.5,3536.5,13662870.0,3536.5
2022-06-05,3612.969970703125,3457.0,3515.5,3493.0,18862359.0,3493.0
2022-06-12,3601.0,3406.868896484375,3489.0,3435.0,29419395.0,3435.0
2022-06-19,3547.0,3416.5,3430.5,3530.5,18568807.0,3530.5
2022-06-26,3645.0,3463.5,3538.0,3535.5,12525128.0,3535.5
2022-07-03,3589.0,3346.0,3572.5,3383.0,18398669.0,3383.0
2022-07-10,3490.0,3335.0,3359.5,3471.5,14781419.0,3471.5
2022-07-17,3555.0,3390.0,3488.5,3420.5,19752729.0,3420.5
2022-07-24,3516.0,3213.5,3437.5,3220.5,18241091.0,3220.5
2022-07-31,3339.0,3184.952880859375,3205.0,3257.0,11324245.0,3257.0
2022-08-07,3350.0,3247.0,3267.5,3324.0,15879797.0,3324.0
2022-08-14,3467.5,3327.0,3328.0,3465.5,13702964.0,3465.5
2022-08-21,3516.0,3412.5,3468.0,3462.5,15115057.0,3462.5
2022-08-28,3536.5,3400.0,3462.5,3460.5,11739286.0,3460.5
2022-09-04,3536.5,3422.5,3440.0,3489.0,10252422.0,3489.0
2022-09-11,3533.5,3405.466064453125,3506.0,3450.5,18023561.0,3450.5
2022-09-18,3519.0,3382.0,3450.5,3386.5,10605812.0,3386.5
2022-09-25,3438.0,3226.468017578125,3387.5,3226.5,16867313.0,3226.5
2022-10-02,3334.0,3153.0,3192.0,3313.5,15854945.0,3313.5
2022-10-09,3337.5,3241.0,3307.5,3281.5,13617668.0,3281.5
2022-10-16,3336.5,3247.2099609375,3283.0,3321.0,9541245.0,3321.0
2022-10-23,3456.0,3314.5,3333.5,3414.5,9541569.0,3414.5
2022-10-31,3447.5,3404.5,3420.5,3433.5,1928261.0,3433.5
