Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LIN,Linde plc,17.92%,473.76,-0.70,-0.15%,2.46 M,366.12 - 487.49
SHW,Sherwin-Williams Co,6.56%,359.04,-2.55,-0.71%,1.12 M,232.06 - 392.57
APD,Air Products & Chemicals Inc,5.56%,318.02,-4.08,-1.27%,1.29 M,212.24 - 332.43
FCX,Freeport-McMoRan Inc,5.27%,46.60,-0.24,-0.51%,8.53 M,32.83 - 55.24
ECL,Ecolab Inc,5.05%,253.49,-2.85,-1.11%,0.62 M,156.72 - 262.61
CTVA,Corteva Inc.,4.70%,60.35,-0.43,-0.71%,2.63 M,43.22 - 61.21
NEM,Newmont Corp,4.37%,48.42,-0.83,-1.69%,28.26 M,29.42 - 58.72
MLM,Martin Marietta Materials,3.92%,570.21,-0.44,-0.08%,0.25 M,389.90 - 626.67
DOW,Dow Inc,3.92%,49.70,-1.29,-2.53%,5.89 M,47.40 - 60.69
DD,DuPont de Nemours Inc.,3.92%,83.30,-0.93,-1.10%,1.33 M,61.14 - 90.06
VMC,Vulcan Materials Co,3.81%,256.54,+0.40,+0.16%,0.74 M,190.51 - 278.79
NUE,Nucor Corp,3.78%,141.47,+0.13,+0.09%,1.74 M,133.42 - 203.00
PPG,PPG Industries Inc,3.32%,126.45,-0.79,-0.62%,0.85 M,118.07 - 151.16
IFF,Intl Flavors & Fragrances,2.92%,101.45,-1.00,-0.98%,0.96 M,63.21 - 106.77
LYB,LyondellBasell Industries N.V.,2.56%,87.50,-0.99,-1.12%,2.09 M,87.84 - 107.02
SW,Smurfit WestRock plc,2.55%,45.84,-0.02,-0.04%,2.39 M,34.50 - 54.83
PKG,Packaging Corp of America,2.27%,225.86,-1.65,-0.73%,0.45 M,148.50 - 231.30
BALL,Ball Corp,2.19%,64.03,-0.59,-0.91%,1.32 M,45.50 - 71.32
STLD,Steel Dynamics Inc,2.09%,129.58,-0.76,-0.58%,0.92 M,99.01 - 151.34
IP,Intl Paper Co,1.90%,48.57,-0.07,-0.14%,2.47 M,31.77 - 50.68
AVY,Avery Dennison Corp,1.88%,207.16,+2.20,+1.07%,0.8 M,165.21 - 233.48
AMCR,Amcor plc,1.79%,11.00,-0.07,-0.63%,5.57 M,8.53 - 11.48
CF,CF Industries Holdings,1.69%,83.19,-0.03,-0.04%,1.05 M,69.13 - 90.86
CE,Celanese Corp A,1.59%,128.87,-0.91,-0.70%,0.52 M,110.76 - 172.16
EMN,Eastman Chemical Co,1.39%,105.43,-1.29,-1.21%,0.6 M,69.25 - 114.50
ALB,Albemarle Corp,1.24%,93.51,-1.64,-1.72%,2.05 M,71.97 - 153.54
MOS,Mosaic Co,0.97%,26.94,+0.23,+0.86%,3.65 M,24.12 - 38.30
FMC,FMC Corp,0.87%,62.00,+0.50,+0.81%,0.64 M,49.49 - 68.72
