Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
XOM,Exxon Mobil Corp,23.33%,119.49,-0.10,-0.08%,10.69 M,95.77 - 126.34
CVX,Chevron Corp,15.58%,150.81,+0.36,+0.24%,6.83 M,135.37 - 167.11
COP,ConocoPhillips,7.38%,104.56,+0.19,+0.18%,3.82 M,101.30 - 135.18
WMB,The Williams Companies Inc,4.72%,52.50,-0.12,-0.23%,5.6 M,32.65 - 52.82
EOG,EOG Resources,4.38%,123.17,-1.27,-1.02%,3.05 M,108.94 - 139.67
SLB,Schlumberger Ltd,4.37%,41.74,+0.49,+1.19%,15.33 M,38.66 - 57.75
OKE,ONEOK Inc,4.16%,96.66,-0.76,-0.78%,2.17 M,63.33 - 98.43
PSX,Phillips 66,3.95%,128.17,-0.32,-0.25%,1.35 M,107.85 - 174.08
MPC,Marathon Petroleum Corp.,3.76%,152.36,-0.52,-0.34%,1.05 M,140.98 - 221.11
KMI,Kinder Morgan Inc,3.55%,24.95,-0.04,-0.16%,16.55 M,15.91 - 25.43
VLO,Valero Energy Corp,3.13%,132.40,+1.04,+0.79%,2.15 M,119.88 - 184.79
HES,Hess Corp,2.81%,138.02,-0.48,-0.35%,2.03 M,123.79 - 163.98
BKR,Baker Hughes Company,2.75%,37.52,+0.74,+2.01%,5.67 M,28.32 - 39.05
TRGP,Targa Resources Corp,2.68%,165.96,-2.61,-1.55%,2.45 M,81.03 - 169.92
OXY,Occidental Petroleum,2.56%,51.58,+0.23,+0.45%,8.66 M,49.75 - 71.19
FANG,Diamondback Energy Inc,2.55%,184.38,+3.47,+1.92%,2.15 M,145.70 - 214.50
HAL,Halliburton Co,1.84%,28.25,+0.40,+1.44%,9.24 M,27.51 - 41.56
DVN,Devon Energy Corp,1.81%,39.19,-0.32,-0.81%,9.28 M,37.77 - 55.09
EQT,EQT Corporation,1.64%,37.48,+0.52,+1.41%,6.63 M,30.02 - 45.23
CTRA,Coterra Energy Inc,1.30%,23.85,-0.14,-0.58%,7.83 M,22.30 - 28.90
MRO,Marathon Oil Corp,1.09%,26.46,+0.06,+0.23%,4.69 M,21.81 - 30.06
APA,APA Corporation,0.68%,24.82,+0.15,+0.61%,4.53 M,22.72 - 40.93
