Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
NEE,NextEra Energy Inc,13.66%,81.43,-1.38,-1.67%,6.58 M,53.81 - 86.10
SO,Southern Co,8.20%,91.88,-1.73,-1.85%,2.5 M,65.80 - 94.45
DUK,Duke Energy Corp,7.39%,117.21,-1.81,-1.52%,2.41 M,86.61 - 121.25
CEG,Constellation Energy Corp,6.75%,264.41,-0.09,-0.03%,2.02 M,109.44 - 288.75
SRE,Sempra,4.36%,84.38,-1.39,-1.62%,2.31 M,66.40 - 86.57
AEP,American Electric Power,4.26%,98.19,-1.20,-1.21%,2.34 M,74.37 - 105.18
D,Dominion Energy Inc,4.08%,59.58,-1.19,-1.96%,3.2 M,39.44 - 61.26
PEG,Public Service Enterprise Grp,3.64%,89.63,-0.86,-0.95%,1.95 M,56.85 - 92.20
PCG,PG&E Corporation,3.55%,20.36,-0.32,-1.55%,7.31 M,15.59 - 20.93
VST,Vistra Corp.,3.48%,124.03,-1.55,-1.23%,3.78 M,31.92 - 143.87
EXC,Exelon Corp,3.27%,40.07,-0.64,-1.57%,5.42 M,33.35 - 41.48
ED,Consolidated Edison Inc,2.95%,104.60,-2.40,-2.24%,1.73 M,85.85 - 107.75
XEL,Xcel Energy Inc,2.93%,64.46,-0.65,-1.00%,7.03 M,46.79 - 65.64
EIX,Edison Intl,2.64%,83.91,-1.71,-2.00%,1.72 M,61.64 - 88.77
WEC,WEC Energy Group Inc,2.51%,97.19,-1.62,-1.64%,1.7 M,75.13 - 100.31
ETR,Entergy Corp,2.36%,135.38,-2.09,-1.52%,2.06 M,90.78 - 138.24
AWK,American Water Works Co Inc,2.19%,137.66,-2.14,-1.53%,0.59 M,113.34 - 150.68
DTE,DTE Energy Co,2.14%,126.57,-3.20,-2.47%,1.28 M,92.58 - 131.67
PPL,PPL Corp,1.95%,32.43,-0.44,-1.34%,3 M,24.10 - 33.39
ES,Eversource Energy,1.92%,65.84,-0.98,-1.47%,1.39 M,52.03 - 69.01
AEE,Ameren Corp,1.91%,87.80,-1.21,-1.36%,0.77 M,67.03 - 89.54
FE,FirstEnergy Corp,1.82%,43.41,-0.68,-1.54%,2.33 M,34.91 - 44.97
ATO,Atmos Energy Corp,1.78%,140.72,-1.95,-1.37%,0.68 M,105.45 - 144.32
CMS,CMS Energy Corp,1.73%,70.76,-1.01,-1.41%,1.48 M,53.38 - 72.40
CNP,Centerpoint Energy Inc,1.56%,29.31,-0.17,-0.58%,3.76 M,25.41 - 31.57
NRG,NRG Energy,1.47%,87.53,-1.75,-1.96%,3.08 M,41.49 - 96.40
NI,Nisource Inc,1.27%,34.82,-0.44,-1.25%,2.65 M,24.58 - 35.48
LNT,Alliant Energy Corp,1.27%,60.74,-1.17,-1.89%,0.98 M,46.80 - 62.49
EVRG,Evergy Inc.,1.14%,60.77,-0.87,-1.41%,1.37 M,47.98 - 62.58
AES,AES Corp,0.98%,16.96,-0.02,-0.12%,6.81 M,14.53 - 22.21
PNW,Pinnacle West Capital (AZ),0.82%,88.20,-1.41,-1.57%,0.77 M,65.20 - 91.57
