Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AAPL,Apple Inc.,14.63%,231.41,+0.84,+0.36%,38.78 M,164.08 - 237.49
NVDA,Nvidia Corp,14.48%,141.54,+1.13,+0.80%,204.32 M,39.23 - 144.42
MSFT,Microsoft Corp,13.24%,428.15,+3.42,+0.81%,16.89 M,326.94 - 468.35
AVGO,Broadcom Inc,4.42%,173.00,+1.65,+0.96%,19.97 M,81.83 - 186.42
CRM,"Salesforce, Inc.",3.05%,290.46,+3.70,+1.29%,3.35 M,193.68 - 318.72
ORCL,Oracle Corp,3.01%,173.52,-0.86,-0.49%,3.67 M,99.26 - 178.61
AMD,Advanced Micro Devices,2.74%,156.23,+2.79,+1.82%,29.7 M,92.74 - 227.30
ACN,Accenture plc A,2.45%,360.80,-3.43,-0.94%,2.13 M,278.69 - 387.51
CSCO,Cisco Systems Inc,2.43%,55.74,-0.22,-0.39%,14.68 M,44.50 - 57.06
ADBE,Adobe Inc.,2.33%,483.72,+0.85,+0.18%,2.43 M,433.97 - 638.25
IBM,Intl Business Machines Corp,2.14%,214.67,-3.72,-1.70%,8.48 M,136.33 - 237.37
NOW,ServiceNow Inc.,2.12%,950.85,-5.73,-0.60%,1.49 M,548.44 - 979.78
QCOM,QUALCOMM Inc,2.06%,170.27,+2.17,+1.29%,5.49 M,104.33 - 230.63
TXN,Texas Instruments Inc,2.05%,206.93,+0.32,+0.15%,5.1 M,139.48 - 214.66
INTU,Intuit Inc,1.85%,609.27,+5.29,+0.88%,1 M,473.56 - 676.62
AMAT,Applied Materials Inc,1.67%,186.52,+2.77,+1.51%,4.79 M,129.21 - 255.89
MU,Micron Technology Inc,1.30%,107.91,+1.06,+0.99%,12.25 M,63.88 - 157.54
PANW,Palo Alto Networks Inc.,1.29%,366.44,+1.86,+0.51%,1.35 M,233.81 - 384.00
ADI,Analog Devices Inc,1.24%,230.17,+0.49,+0.21%,1.73 M,154.99 - 244.14
ANET,Arista Networks Inc,1.10%,394.09,-1.61,-0.41%,1.17 M,168.25 - 422.73
LRCX,Lam Research Corp,1.10%,77.68,+1.11,+1.45%,14.58 M,57.44 - 113.00
INTC,Intel Corp,1.05%,22.68,+0.34,+1.52%,67.42 M,18.51 - 51.28
KLAC,KLA Corporation,0.98%,673.07,+6.91,+1.04%,0.95 M,452.01 - 896.32
PLTR,Palantir Technologies Inc. Class A,0.98%,44.86,+1.30,+2.98%,50.32 M,14.48 - 45.07
APH,Amphenol Corp A,0.91%,69.41,-0.39,-0.56%,7.04 M,39.48 - 71.20
MSI,Motorola Solutions Inc,0.84%,462.32,-3.06,-0.66%,0.34 M,271.73 - 480.28
SNPS,Synopsys Inc,0.83%,501.58,+6.33,+1.28%,0.64 M,448.91 - 629.38
CDNS,Cadence Design Systems Inc,0.76%,257.30,+6.02,+2.40%,2.02 M,228.66 - 328.99
CRWD,"CrowdStrike Holdings, Inc.",0.75%,300.62,-3.85,-1.26%,6.03 M,170.17 - 398.33
NXPI,NXP Semiconductor NV,0.67%,243.16,+4.10,+1.72%,2.14 M,167.21 - 296.08
ADSK,Autodesk Inc,0.67%,286.04,+0.27,+0.09%,0.97 M,192.01 - 294.13
ROP,"Roper Technologies, Inc",0.63%,542.00,-0.10,-0.02%,0.54 M,474.46 - 579.10
FTNT,Fortinet Inc,0.55%,80.34,-0.28,-0.35%,3.11 M,44.12 - 83.77
