Date,Symbol,Name,Direction,Count
2022-10-31,DXCM,DexCom,1.0,2.0
2022-10-31,PCAR,Paccar,1.0,2.0
2022-10-31,NFLX,Netflix,1.0,2.0
2022-10-31,AMGN,Amgen,1.0,2.0
2022-10-31,DLTR,Dollar Tree,-1.0,3.0
2022-10-31,ADI,Analog Devices,-1.0,4.0
2022-10-31,PAYX,Paychex,-1.0,5.0
2022-10-31,XEL,Xcel Energy,-1.0,5.0
2022-10-31,MRNA,Moderna,-1.0,6.0
2022-10-31,AEP,American Electric Power,-1.0,6.0
2022-10-31,EXC,Exelon,-1.0,6.0
2022-10-31,BIIB,Biogen,1.0,6.0
2022-10-31,NTES,NetEase,-1.0,7.0
2022-10-31,JD,JD.com,-1.0,7.0
2022-10-31,SBUX,Starbucks,1.0,8.0
2022-10-31,AZN,AstraZeneca,-1.0,8.0
2022-10-31,KHC,Kraft Heinz,-1.0,8.0
2022-10-31,REGN,Regeneron,1.0,9.0
2022-10-31,PDD,Pinduoduo,1.0,10.0
2022-10-31,ADSK,Autodesk,1.0,12.0
2022-10-31,GILD,Gilead Sciences,1.0,12.0
2022-10-31,ORLY,O'Reilly Automotive,1.0,12.0
2022-10-31,CTAS,Cintas,1.0,12.0
2022-10-31,CPRT,Copart,1.0,12.0
2022-10-31,FISV,Fiserv,1.0,13.0
2022-10-31,PEP,PepsiCo,1.0,14.0
2022-10-31,KDP,Keurig Dr Pepper,1.0,14.0
2022-10-31,ADP,ADP,1.0,15.0
2022-10-31,SNPS,Synopsys,1.0,16.0
2022-10-31,ATVI,Activision Blizzard,-1.0,16.0
2022-10-31,CDNS,Cadence Design Systems,1.0,16.0
2022-10-31,CEG,Constellation Energy,1.0,16.0
2022-10-31,MNST,Monster Beverage,1.0,17.0
2022-10-31,BKNG,Booking Holdings,-1.0,20.0
2022-10-31,MDLZ,Mondelēz International,-1.0,21.0
2022-10-31,MCHP,Microchip Technology,-1.0,21.0
2022-10-31,MAR,Marriott International,-1.0,21.0
2022-10-31,SGEN,Seagen,1.0,21.0
2022-10-31,SIRI,Sirius XM,-1.0,21.0
2022-10-31,FAST,Fastenal,-1.0,21.0
2022-10-31,NXPI,NXP,-1.0,22.0
2022-10-31,MU,Micron Technology,-1.0,22.0
2022-10-31,TMUS,T-Mobile US,1.0,23.0
2022-10-31,EA,Electronic Arts,1.0,23.0
2022-10-31,TXN,Texas Instruments,-1.0,23.0
2022-10-31,VRTX,Vertex Pharmaceuticals,1.0,24.0
2022-10-31,META,Meta Platforms,-1.0,24.0
2022-10-31,ODFL,Old Dominion Freight Line,-1.0,25.0
2022-10-31,AVGO,Broadcom Inc.,-1.0,25.0
2022-10-31,LULU,Lululemon,-1.0,25.0
2022-10-31,COST,Costco,-1.0,25.0
2022-10-31,ROST,Ross Stores,-1.0,25.0
2022-10-31,MSFT,Microsoft,-1.0,26.0
2022-10-31,AMD,AMD,-1.0,26.0
2022-10-31,BIDU,Baidu,-1.0,26.0
